Course code,Course Name,similarity,Student_ID
CSCI 411,Senior Seminar I,0.6989861900181957,F00016
CSCI 412,Senior Seminar II,0.6864707462864421,F00016
AERO 4515,National Security Affairs - Preparing for Active Duty,0.0,F00016
AERO-4516L,Leadership Laboratory IV,0.0,F00016
ART 401,Senior Portfolio,0.0,F00016
CSCI 210,Sophomore Seminar,0.7754385121120964,F00017
CSCI 241,Data Structures and Algorithms,0.7183709037543544,F00017
CSCI 241L,Data Structures and Algorithms Laboratory,0.6992930665498864,F00017
CSCI 230,Introduction to Computer Architecture,0.5722858813552933,F00017
CSCI 230L,Introduction to Computer Architecture Laboratory,0.5332113753364744,F00017
MATH 395,Senior Seminar,0.33678927493386857,F00018
MATH 390,Special Topics in Mathematics,0.21310940762107478,F00018
PHYS 359,Introduction to Materials Science,0.19668500017251464,F00018
PHYS 340,Methods in Theoretical Physics,0.11805598206713758,F00018
PSCI 340,Independent Study in Political Science,0.11335103849039843,F00018
CSCI 411,Senior Seminar I,0.6399356140977523,F00019
CSCI 412,Senior Seminar II,0.6284774790379207,F00019
BAD 490,Business Policy,0.044225009752269714,F00019
SOC 100,Introduction to Sociology,0.037866666679411576,F00019
CHEM 470L,Analytical Chemistry Laboratory,0.011449235319721385,F00019
CSCI 411,Senior Seminar I,0.7984416068743466,F00020
CSCI 412,Senior Seminar II,0.7911105764368369,F00020
SOC 100,Introduction to Sociology,0.03481406293361894,F00020
CHEM 470L,Analytical Chemistry Laboratory,0.017142126774828972,F00020
AERO-4516L,Leadership Laboratory IV,0.016043199997700246,F00020
CSCI 310,Junior Seminar,0.7029714283582533,F00021
CSCI 312L,Database Management Laboratory,0.6774170904731445,F00021
PSCI 340,Independent Study in Political Science,0.16303318040328574,F00021
PSCI 320,Selected Topics in Political Science ,0.15935150273835705,F00021
CSCI 390,Special Topics ,0.11823772460740506,F00021
CSCI 120L,Introduction to Computer Science II Laboratory,0.7858253475590569,F00022
CORE 120,Critical Thinking,0.2540123314766431,F00022
CORE 150,Composition I,0.24361723947401875,F00022
CORE 100,New Student Orientation,0.22664085495217076,F00022
PSCI 111,Introduction to Political Science,0.21209393470150076,F00022
CSCI 241,Data Structures and Algorithms,0.697692596804481,F00023
CSCI 241L,Data Structures and Algorithms Laboratory,0.6957479555180812,F00023
CSCI 230,Introduction to Computer Architecture,0.6113904889000796,F00023
CSCI 230L,Introduction to Computer Architecture Laboratory,0.5908268631235787,F00023
CSCI 261L,Operating Systems Laboratory,0.5307517644648826,F00023
CORE 210,Introduction to Social Justice,0.28045148058466246,F00024
CORE 220,The Creative Arts,0.2684018497295565,F00024
MATH 200S,Mathematics for Elementary Teachers,0.2059396448070374,F00024
KINS 275,Introduction to Exercise Science,0.13933983293610594,F00024
KINS 275L,Introduction to Exercise Science Laboratory,0.12789903111352638,F00024
MATH 395,Senior Seminar,0.5646653642407338,F00025
MATH 390,Special Topics in Mathematics,0.32421285512083,F00025
PSCI 320,Selected Topics in Political Science ,0.12417363411144923,F00025
CSCI 320,Numerical Analysis,0.12157556891872626,F00025
PSCI 340,Independent Study in Political Science,0.08375008866373246,F00025
CSCI 310,Junior Seminar,0.7688880605916133,F00026
CSCI 312L,Database Management Laboratory,0.7333318165313446,F00026
CSCI 312,Database Management ,0.7324339524131995,F00026
CSCI 380,Machine Learning,0.6418778008354569,F00026
MATH 390B,Special Topics in Biostatistics,0.2656175940759181,F00026
MATH 270,Ordinary Differential Equations ,0.40791631449013865,F00027
MATH 285,Bioinformatics I,0.2090134711357183,F00027
MATH 202,Introduction to Abstract Algebra,0.18929913492153683,F00027
CORE 210,Introduction to Social Justice,0.14545834878047353,F00027
MATH 280,Mathematical Modeling of Biological Systems,0.1419587866860009,F00027
CSCI 411,Senior Seminar I,0.7651732290200801,F00028
CSCI 412,Senior Seminar II,0.7567995238545843,F00028
PSCI 406,African Political Systems,0.05614845274100179,F00028
SOC 100,Introduction to Sociology,0.05168934917363843,F00028
CHEM 470L,Analytical Chemistry Laboratory,0.04028457352728246,F00028
BAD 490,Business Policy,0.026098488416535656,F00029
SW 486,Social Work Field Experience and Seminar II,0.018289419942746125,F00029
SOC 100,Introduction to Sociology,0.017012267030343014,F00029
PHYS 472,Introduction to Modern Optics,0.01357036333062797,F00029
AERO-4516L,Leadership Laboratory IV,0.0,F00029
CSCI 412,Senior Seminar II,0.771848381380795,F00030
HIS 499,Senior Seminar,0.0816246651725425,F00030
PHYS 490,Senior Seminar,0.07445054502839685,F00030
BIOL 498,Senior Seminar,0.07413686158991231,F00030
BIOL 497,Senior Seminar ,0.07413686158991231,F00030
SOC 100,Introduction to Sociology,0.05024146082983282,F00031
EDUC 410,Elementary Student Seminar ,0.043497180370652866,F00031
EDUC 460,Secondary Student Seminar ,0.042032400849546216,F00031
SPED 480,Student Teaching of Exceptional Children,0.034042568117102254,F00031
SW 486,Social Work Field Experience and Seminar II,0.015491486866324658,F00031
CSCI 310,Junior Seminar,0.5906637353902843,F00032
CSCI 312L,Database Management Laboratory,0.5371102555239375,F00032
PSCI 340,Independent Study in Political Science,0.1655070471083735,F00032
CSCI 360,Computer Networks and Distributed Systems ,0.1619824904708281,F00032
PSCI 320,Selected Topics in Political Science ,0.16176950363887915,F00032
CSCI 310,Junior Seminar,0.5896208994018084,F00033
CSCI 312L,Database Management Laboratory,0.5572213035265888,F00033
CSCI 360,Computer Networks and Distributed Systems ,0.29539253655290787,F00033
CSCI 390,Special Topics ,0.12151722764500375,F00033
PSCI 340,Independent Study in Political Science,0.12090467122238306,F00033
CSCI 120,Introduction to Computer Science II,0.89293916473767,F00034
CSCI 120L,Introduction to Computer Science II Laboratory,0.8439805700227494,F00034
CSCI 110L,Introduction to Computer Science I Laboratory,0.8399905659399104,F00034
MATH 130,Calculus II,0.754789721877301,F00034
CORE 120,Critical Thinking,0.28751929483796923,F00034
PHYS 490,Senior Seminar,0.18506733899915995,F00035
HIS 499,Senior Seminar,0.13390822740735392,F00035
BIOL 497,Senior Seminar ,0.12162421371118834,F00035
BIOL 498,Senior Seminar,0.12162421371118833,F00035
ENG 480,Senior Seminar,0.1168088085358945,F00035
CSCI 241,Data Structures and Algorithms,0.7501455421421592,F00036
CSCI 241L,Data Structures and Algorithms Laboratory,0.7302238631628846,F00036
KINS 275,Introduction to Exercise Science,0.22526888912308726,F00036
KINS 275L,Introduction to Exercise Science Laboratory,0.20677269415182092,F00036
HSS 290,Behavioral Statistics,0.18216092069745124,F00036
CSCI 110L,Introduction to Computer Science I Laboratory,0.7723254053899471,F00037
CSCI 120L,Introduction to Computer Science II Laboratory,0.7678798240516668,F00037
CORE 150,Composition I,0.27902757343268414,F00037
CORE 120,Critical Thinking,0.2660044805241047,F00037
CORE 100,New Student Orientation,0.25958363182568384,F00037
CSCI 210,Sophomore Seminar,0.6412413147636452,F00038
CSCI 241L,Data Structures and Algorithms Laboratory,0.5838182065759254,F00038
HSS 290,Behavioral Statistics,0.19420442147308575,F00038
KINS 275,Introduction to Exercise Science,0.18585095962991488,F00038
KINS 275L,Introduction to Exercise Science Laboratory,0.1705912599958763,F00038
CORE 210,Introduction to Social Justice,0.21464279603050201,F00039
CORE 220,The Creative Arts,0.18563393350450325,F00039
KINS 275,Introduction to Exercise Science,0.16253332442722007,F00039
KINS 275L,Introduction to Exercise Science Laboratory,0.14918817024442776,F00039
PHYS 252,Electronics ,0.07605618764176597,F00039
PHYS 441,Solid State Physics,0.05596683817469745,F00040
PHYS 472,Introduction to Modern Optics,0.050997622691456496,F00040
PHYS 490,Senior Seminar,0.03573060252668889,F00040
SOC 100,Introduction to Sociology,0.03224471143777235,F00040
PHYS 451,Quantum Mechanics,0.028072945551858467,F00040
MATH 395,Senior Seminar,0.33793533178143026,F00041
MATH 390,Special Topics in Mathematics,0.26027906539330276,F00041
HIS 360,Modern World History,0.10000595070033662,F00041
PSCI 340,Independent Study in Political Science,0.09764737298872576,F00041
PSCI 320,Selected Topics in Political Science ,0.09544226264687838,F00041
CSCI 120L,Introduction to Computer Science II Laboratory,0.7780977023878404,F00042
CSCI 110L,Introduction to Computer Science I Laboratory,0.7716769711244595,F00042
CORE 120,Critical Thinking,0.5845075920494598,F00042
CORE 150,Composition I,0.5824224107859188,F00042
CORE 100,New Student Orientation,0.5418365030685879,F00042
PHYS 441,Solid State Physics,0.07326969445518339,F00043
SOC 100,Introduction to Sociology,0.05799951838540762,F00043
PHYS 472,Introduction to Modern Optics,0.051660414230676445,F00043
PHYS 490,Senior Seminar,0.04518492207030499,F00043
HMLS 400,Critical Infrastructure Protection,0.036036463718582136,F00043
CORE 360,The World and its Peoples,0.7771290115528847,F00044
MATH 395,Senior Seminar,0.2416184290986632,F00044
MATH 390,Special Topics in Mathematics,0.1782089091899636,F00044
PSCI 340,Independent Study in Political Science,0.09043348423266502,F00044
PSCI 320,Selected Topics in Political Science ,0.08839128068711993,F00044
CORE 160,Composition II,0.690344961567734,F00045
CORE 100,New Student Orientation,0.6352294291755369,F00045
CSCI 110L,Introduction to Computer Science I Laboratory,0.5179053429618262,F00045
CSCI 120L,Introduction to Computer Science II Laboratory,0.5149242286392897,F00045
CORE 131,Essential Mathematics for a Contemporary World,0.31391122399502186,F00045
CSCI 120L,Introduction to Computer Science II Laboratory,0.5763479175769025,F00046
CSCI 110L,Introduction to Computer Science I Laboratory,0.5684675675360384,F00046
CORE 150,Composition I,0.2584682308303666,F00046
CORE 120,Critical Thinking,0.24640470699073394,F00046
CORE 100,New Student Orientation,0.24045696002403255,F00046
PHYS 441,Solid State Physics,0.07319866246518583,F00047
PHYS 490,Senior Seminar,0.0451411171253492,F00047
PHYS 472,Introduction to Modern Optics,0.03395408280405702,F00047
SW 486,Social Work Field Experience and Seminar II,0.020042013883152222,F00047
ART 402,Senior Portfolio,0.0,F00047
CSCI 310,Junior Seminar,0.632138945938334,F00048
CSCI 312L,Database Management Laboratory,0.5770770346248562,F00048
NSCI 360,Statistics,0.47612134027263575,F00048
PHYS 359,Introduction to Materials Science,0.20294219044868012,F00048
MATH 390,Special Topics in Mathematics,0.18279056848917555,F00048
CSCI 310,Junior Seminar,0.7251750468950996,F00049
CSCI 312L,Database Management Laboratory,0.6956092004129436,F00049
CSCI 380L,Machine Learning Laboratory,0.48425592725613753,F00049
MATH 390B,Special Topics in Biostatistics,0.286579263108952,F00049
PSCI 340,Independent Study in Political Science,0.17113653944427648,F00049
CSCI 241L,Data Structures and Algorithms Laboratory,0.7981886164253913,F00050
CSCI 210,Sophomore Seminar,0.7403246768066235,F00050
CSCI 282,Programming Languages,0.6641815138689756,F00050
CSCI 230L,Introduction to Computer Architecture Laboratory,0.6092304633285395,F00050
CSCI 261L,Operating Systems Laboratory,0.5460176969627817,F00050
CSCI 110L,Introduction to Computer Science I Laboratory,0.7015061708599892,F00051
CSCI 120L,Introduction to Computer Science II Laboratory,0.6974682320325218,F00051
MATH 130,Calculus II,0.6216205348646666,F00051
CORE 150,Composition I,0.5769315723129692,F00051
CORE 120,Critical Thinking,0.5659828339539809,F00051
CSCI 310,Junior Seminar,0.8188222899710973,F00052
CSCI 312L,Database Management Laboratory,0.7707099800408901,F00052
PSCI 340,Independent Study in Political Science,0.17288362632822013,F00052
PSCI 320,Selected Topics in Political Science ,0.16897950212411636,F00052
CSCI 390,Special Topics ,0.11793594614659417,F00052
MATH 395,Senior Seminar,0.435460106004734,F00053
MATH 390,Special Topics in Mathematics,0.31198558601996285,F00053
PHYS 340,Methods in Theoretical Physics,0.12219569115435037,F00053
PSCI 320,Selected Topics in Political Science ,0.10838297831113627,F00053
HIS 360,Modern World History,0.09430340211322336,F00053
PHYS 441,Solid State Physics,0.0838247276574732,F00054
PHYS 490,Senior Seminar,0.05169413923357116,F00054
PHYS 472,Introduction to Modern Optics,0.03888311135825817,F00054
SW 486,Social Work Field Experience and Seminar II,0.01264415602681728,F00054
ART 402,Senior Portfolio,0.0,F00054
CSCI 310,Junior Seminar,0.7298435997188908,F00055
CSCI 312L,Database Management Laboratory,0.6475645701459741,F00055
PSCI 340,Independent Study in Political Science,0.16338551239084553,F00055
PSCI 320,Selected Topics in Political Science ,0.15969587823015305,F00055
MATH 390,Special Topics in Mathematics,0.12644832821426322,F00055
CSCI 411,Senior Seminar I,0.6260126497942158,F00056
CSCI 412,Senior Seminar II,0.6208471755492381,F00056
SOC 100,Introduction to Sociology,0.05061795991391774,F00056
BAD 490,Business Policy,0.028336709928576752,F00056
EDUC 410,Elementary Student Seminar ,0.01961556121054969,F00056
MATH 220,Introduction to Higher Algebra,0.49792426259719424,F00057
MATH 285,Bioinformatics I,0.23510754622080082,F00057
MATH 280,Mathematical Modeling of Biological Systems,0.15968148761357137,F00057
ENG 280,Seminar ,0.07044464679355245,F00057
SPED 270,Professional Aspects of Special Education,0.06647501952437351,F00057
CORE 360,The World and its Peoples,0.7767607515658588,F00058
CSCI 310,Junior Seminar,0.5767363444792807,F00058
CSCI 312,Database Management ,0.5393998274224459,F00058
CSCI 312L,Database Management Laboratory,0.5271030141902473,F00058
PSCI 340,Independent Study in Political Science,0.1596859170594126,F00058
CSCI 210,Sophomore Seminar,0.6032588784894554,F00059
CSCI 241L,Data Structures and Algorithms Laboratory,0.5721921914713852,F00059
CORE 210,Introduction to Social Justice,0.24781104214128197,F00059
CORE 220,The Creative Arts,0.2205554032319565,F00059
KINS 275,Introduction to Exercise Science,0.20044984482957418,F00059
CORE 260,Humanities,0.6896179950834944,F00060
CORE 210,Introduction to Social Justice,0.29858901721750974,F00060
CORE 220,The Creative Arts,0.2613391059935363,F00060
MATH 285,Bioinformatics I,0.12128716991883516,F00060
KINS 275,Introduction to Exercise Science,0.10383869564259024,F00060
MATH 395,Senior Seminar,0.5457234828376851,F00061
MATH 353,Real Analysis,0.48152926371773513,F00061
MATH 390,Special Topics in Mathematics,0.33227631782373646,F00061
PHYS 359,Introduction to Materials Science,0.1366795962813871,F00061
PSCI 320,Selected Topics in Political Science ,0.12216509899594882,F00061
CSCI 312,Database Management ,0.7025486834507666,F00062
CSCI 312L,Database Management Laboratory,0.6732747338184515,F00062
CSCI 380L,Machine Learning Laboratory,0.5417283134337154,F00062
NSCI 360,Statistics,0.5013235611559413,F00062
CORE 360,The World and its Peoples,0.4283046905785983,F00062
CSCI 412,Senior Seminar II,0.6788705189212924,F00063
CSCI 411,Senior Seminar I,0.676347932977071,F00063
CHEM 470L,Analytical Chemistry Laboratory,0.03868106642631362,F00063
AERO-4516L,Leadership Laboratory IV,0.036201347297985395,F00063
SOC 100,Introduction to Sociology,0.01751960856892923,F00063
MATH 240,Linear Algebra,0.6240211759049625,F00064
CSCI 210,Sophomore Seminar,0.5310116799090173,F00064
CSCI 241L,Data Structures and Algorithms Laboratory,0.5113307635644506,F00064
HSS 290,Behavioral Statistics,0.2822362881939595,F00064
CORE 210,Introduction to Social Justice,0.225182101435584,F00064
CSCI 310,Junior Seminar,0.7231292663317894,F00065
CSCI 312L,Database Management Laboratory,0.6580431954974039,F00065
CSCI 380,Machine Learning,0.4400490068725066,F00065
CSCI 380L,Machine Learning Laboratory,0.4154298772830225,F00065
MATH 390B,Special Topics in Biostatistics,0.31493773839473627,F00065
CSCI 120L,Introduction to Computer Science II Laboratory,0.7921135566490627,F00066
CORE 150,Composition I,0.543717310827392,F00066
CORE 120,Critical Thinking,0.5183403168343006,F00066
CORE 100,New Student Orientation,0.5058285548439496,F00066
PSCI 111,Introduction to Political Science,0.23663991513602783,F00066
PHYS 441,Solid State Physics,0.09893106831828857,F00067
PHYS 472,Introduction to Modern Optics,0.06851247370723777,F00067
PHYS 490,Senior Seminar,0.062093560656041547,F00067
SOC 100,Introduction to Sociology,0.05313139876942877,F00067
EDUC 410,Elementary Student Seminar ,0.02239911184923741,F00067
CSCI 120,Introduction to Computer Science II,0.8942646402555963,F00068
CSCI 120L,Introduction to Computer Science II Laboratory,0.8775688829694102,F00068
CORE 150,Composition I,0.4553641612488873,F00068
CORE 120,Critical Thinking,0.434110886146983,F00068
CORE 100,New Student Orientation,0.4236322644606292,F00068
CSCI 411,Senior Seminar I,0.6984141784508177,F00069
CSCI 412,Senior Seminar II,0.6859089766647386,F00069
HIS 499,Senior Seminar,0.056524764001818543,F00069
PHYS 490,Senior Seminar,0.05155671363112084,F00069
BIOL 497,Senior Seminar ,0.05133948906677946,F00069
SOC 100,Introduction to Sociology,0.04032017849855585,F00070
CHEM 470L,Analytical Chemistry Laboratory,0.01749002765481168,F00070
AERO-4516L,Leadership Laboratory IV,0.01636879806789619,F00070
SW 486,Social Work Field Experience and Seminar II,0.009509497192016119,F00070
AERO 4515,National Security Affairs - Preparing for Active Duty,0.0,F00070
CSCI 210,Sophomore Seminar,0.6592183933128626,F00071
CSCI 241L,Data Structures and Algorithms Laboratory,0.649012669273882,F00071
HSS 290,Behavioral Statistics,0.371911778936395,F00071
KINS 275L,Introduction to Exercise Science Laboratory,0.22169372390524528,F00071
KINS 275,Introduction to Exercise Science,0.20988002711084847,F00071
MATH 390,Special Topics in Mathematics,0.3038630130557294,F00072
AERO-3516L,Leadership Laboratory III,0.07877477337067419,F00072
HIS 360,Modern World History,0.06778195785519132,F00072
PSCI 340,Independent Study in Political Science,0.06416263510433498,F00072
PSCI 320,Selected Topics in Political Science ,0.06271368992641316,F00072
MATH 240,Linear Algebra,0.7330573861116134,F00073
CSCI 210,Sophomore Seminar,0.644313118019872,F00073
CSCI 241L,Data Structures and Algorithms Laboratory,0.6132388194275427,F00073
KINS 275,Introduction to Exercise Science,0.20160047460130054,F00073
KINS 275L,Introduction to Exercise Science Laboratory,0.19968251049779998,F00073
CSCI 411,Senior Seminar I,0.8148138325275496,F00074
HIS 499,Senior Seminar,0.1076752295368843,F00074
PHYS 490,Senior Seminar,0.09821148433666607,F00074
BIOL 498,Senior Seminar,0.0977976886271297,F00074
BIOL 497,Senior Seminar ,0.0977976886271297,F00074
CSCI 411,Senior Seminar I,0.6840022857317858,F00075
CSCI 412,Senior Seminar II,0.671755130864185,F00075
MKT 400,Special Topics in Marketing,0.04799776222341124,F00075
CHEM 470L,Analytical Chemistry Laboratory,0.025174958538434773,F00075
AERO-4516L,Leadership Laboratory IV,0.02356107267617324,F00075
CSCI 411,Senior Seminar I,0.8327518447184747,F00076
HIS 499,Senior Seminar,0.05460762612840085,F00076
PHYS 490,Senior Seminar,0.049808076019330155,F00076
BIOL 498,Senior Seminar,0.04959821901231855,F00076
BIOL 497,Senior Seminar ,0.04959821901231855,F00076
CSCI 110L,Introduction to Computer Science I Laboratory,0.7070032926746175,F00077
CORE 120,Critical Thinking,0.6928217046039056,F00077
CORE 100,New Student Orientation,0.6760982895265397,F00077
CORE 132,Essential Mathematics for a Contemporary World II,0.279330992186172,F00077
CORE 131,Essential Mathematics for a Contemporary World,0.27298833932186867,F00077
CSCI 210,Sophomore Seminar,0.7276661471626642,F00078
CSCI 241L,Data Structures and Algorithms Laboratory,0.689102756009166,F00078
CORE 201,Introduction to Business and Entrepreneurship,0.5654865074004138,F00078
KINS 275L,Introduction to Exercise Science Laboratory,0.21896430755803362,F00078
KINS 275,Introduction to Exercise Science,0.20685838932624115,F00078
MATH 270,Ordinary Differential Equations ,0.3956503551850622,F00079
MATH 202,Introduction to Abstract Algebra,0.19544832534439321,F00079
MATH 285,Bioinformatics I,0.1861219373446932,F00079
KINS 275L,Introduction to Exercise Science Laboratory,0.16531753997036955,F00079
KINS 275,Introduction to Exercise Science,0.16316891725072158,F00079
BAD 490,Business Policy,0.04367040848496601,F00080
SOC 100,Introduction to Sociology,0.028466501148000846,F00080
PHYS 472,Introduction to Modern Optics,0.022707189032543703,F00080
SW 486,Social Work Field Experience and Seminar II,0.016859757110648136,F00080
AERO-4516L,Leadership Laboratory IV,0.0,F00080
CSCI 412,Senior Seminar II,0.731012450865813,F00081
HIS 499,Senior Seminar,0.0831593776159085,F00081
PHYS 490,Senior Seminar,0.07585036918239407,F00081
BIOL 498,Senior Seminar,0.07553078784680575,F00081
BIOL 497,Senior Seminar ,0.07553078784680575,F00081
CSCI 210,Sophomore Seminar,0.631015218196493,F00082
HSS 290,Behavioral Statistics,0.38619051716169567,F00082
KINS 275L,Introduction to Exercise Science Laboratory,0.18660837563779636,F00082
KINS 275,Introduction to Exercise Science,0.17124830085011197,F00082
MATH 285,Bioinformatics I,0.0988563996239876,F00082
CSCI 412,Senior Seminar II,0.46809183872875165,F00083
HIS 499,Senior Seminar,0.0711642001794518,F00083
PHYS 490,Senior Seminar,0.06490946674844522,F00083
BIOL 497,Senior Seminar ,0.0646359828577352,F00083
BIOL 498,Senior Seminar,0.06463598285773518,F00083
CSCI 411,Senior Seminar I,0.5675565344525727,F00084
CSCI 412,Senior Seminar II,0.5573943567544049,F00084
PSCI 406,African Political Systems,0.06934838147358087,F00084
CHEM 470L,Analytical Chemistry Laboratory,0.04354539491407912,F00084
AERO-4516L,Leadership Laboratory IV,0.040753839285054556,F00084
CSCI 411,Senior Seminar I,0.7759067356907365,F00085
CSCI 412,Senior Seminar II,0.7672468525244948,F00085
CHEM 470L,Analytical Chemistry Laboratory,0.03957374289153235,F00085
SOC 100,Introduction to Sociology,0.03955778613381927,F00085
AERO-4516L,Leadership Laboratory IV,0.0370367971376035,F00085
PHYS 490,Senior Seminar,0.057247868298978835,F00086
SOC 100,Introduction to Sociology,0.05181310315475194,F00086
BAD 490,Business Policy,0.037302474473992826,F00086
CHEM 470L,Analytical Chemistry Laboratory,0.025576314627105946,F00086
AERO-4516L,Leadership Laboratory IV,0.02393669911304578,F00086
CORE 210,Introduction to Social Justice,0.22145764228005105,F00087
KINS 275L,Introduction to Exercise Science Laboratory,0.15259771196036184,F00087
KINS 275,Introduction to Exercise Science,0.15160046168118807,F00087
CORE 220,The Creative Arts,0.14387988641984895,F00087
MATH 285,Bioinformatics I,0.13058850002461694,F00087
CORE 210,Introduction to Social Justice,0.2836883006898893,F00088
CORE 220,The Creative Arts,0.2692348402404945,F00088
KINS 275,Introduction to Exercise Science,0.18593543602536208,F00088
MATH 200S,Mathematics for Elementary Teachers,0.18454824592557245,F00088
KINS 275L,Introduction to Exercise Science Laboratory,0.1706688002720629,F00088
CSCI 310,Junior Seminar,0.5653390715730067,F00089
CSCI 312L,Database Management Laboratory,0.5360869115809814,F00089
PSCI 340,Independent Study in Political Science,0.15945198172843192,F00089
PSCI 320,Selected Topics in Political Science ,0.15585117606233356,F00089
MATH 390,Special Topics in Mathematics,0.07654474711864706,F00089
CSCI 411,Senior Seminar I,0.7145937979372478,F00090
CSCI 412,Senior Seminar II,0.7017988978421387,F00090
CHEM 470L,Analytical Chemistry Laboratory,0.028583086034813517,F00090
AERO-4516L,Leadership Laboratory IV,0.026750716047750225,F00090
ART 401,Senior Portfolio,0.0,F00090
MATH 240,Linear Algebra,0.7294546365939055,F00091
MATH 220,Introduction to Higher Algebra,0.41106249602388,F00091
MATH 270,Ordinary Differential Equations ,0.347945786486867,F00091
CORE 210,Introduction to Social Justice,0.1919928304390572,F00091
KINS 275,Introduction to Exercise Science,0.18136683225496875,F00091
CSCI 411,Senior Seminar I,0.7406535162542223,F00092
CSCI 412,Senior Seminar II,0.7331990495082785,F00092
PSCI 406,African Political Systems,0.02698381881125842,F00092
