Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Major Applicable to,Requirement_type,Major_Applicable,Requirement_Type
ART - Art,Women and the Arts ,ART 250,3,200,,,,,['OTHER'],['General Elective']
ART - Art,African American Art,ART 291,3,200,,,,,['OTHER'],['General Elective']
ART - Art,African Art,ART 292,3,200,,,,,['OTHER'],['General Elective']
ART - Art,Sculpture I ,ART 301,3,300,,,,,['OTHER'],['General Elective']
ART - Art,Sculpture II,ART 302,3,300,,,,,['OTHER'],['General Elective']
ART - Art,Independent Study,ART 400,3,400,,,,,['OTHER'],['General Elective']
ART - Art,Senior Portfolio,ART 401,3,400,,,,,['OTHER'],['General Elective']
ART - Art,Senior Portfolio,ART 402,3,400,,,,,['OTHER'],['General Elective']
BAD - Business Administration,Business Information Systems,BAD 110,3,100,,,,,['OTHER'],['General Elective']
BAD - Business Administration,Applied Calculus,BAD 200,3,200,MATH 110,,,,['OTHER'],['General Elective']
BAD - Business Administration,Business Law,BAD 220,3,200,,,,,['OTHER'],['General Elective']
BAD - Business Administration,Business Ethics,BAD 230,3,200,,,,,['OTHER'],['General Elective']
BAD - Business Administration,Business Communications,BAD 250,3,200,"CORE 150, ENG 275 or HIS 270 or HIS 180",,,,['OTHER'],['General Elective']
BAD - Business Administration,Applied Statistics,BAD 260,3,200,MATH 101,,,,['Data Science'],['Statistics']
BAD - Business Administration,Marketing,BAD 320,3,300,ECON 230,,,,['OTHER'],['General Elective']
BAD - Business Administration,Internship Seminar,BAD 399,3,300,,,,,['OTHER'],['General Elective']
BAD - Business Administration,Business Policy,BAD 490,3,400,,,,,['OTHER'],['General Elective']
BIOL - Biology,General Biology I,BIOL 101,3,100,,BIOL 101L,,,['OTHER'],['General Elective']
BIOL - Biology,General Biology I Lab,BIOL 101L,1,100,,BIOL 101,,,['OTHER'],['General Elective']
BIOL - Biology,General Biology II,BIOL 102,3,100,"BIOL 101, BIOL 101L",BIOL 102L,,,['OTHER'],['General Elective']
BIOL - Biology,General Biology II Lab,BIOL 102L,1,100,"BIOL 101, BIOL 101L",BIOL 102,,,['OTHER'],['General Elective']
BIOL - Biology,Zoological Histology,BIOL 212,3,200,"BIOL 101, BIOL 101L",BIOL 212L,,,['OTHER'],['General Elective']
BIOL - Biology,Zoological Histology Lab,BIOL 212L,1,200,"BIOL 101, BIOL 101L",BIOL 212,,,['OTHER'],['General Elective']
BIOL - Biology,Zoological Histology,BIOL 220,3,200,"BIOL 101, BIOL 101L",BIOL 220L,,,['OTHER'],['General Elective']
BIOL - Biology,Zoological Histology Lab,BIOL 220L,1,200,"BIOL 101, BIOL 101L",BIOL 220,,,['OTHER'],['General Elective']
BIOL - Biology,Human Anatomy and Physiology I,BIOL 221,3,200,"BIOL 101, BIOL 101L",BIOL 221L,,,['OTHER'],['General Elective']
BIOL - Biology,Human Anatomy and Physiology I Lab,BIOL 221L,1,200,"BIOL 101, BIOL 101L",BIOL 221,,,['OTHER'],['General Elective']
BIOL - Biology,Human Anatomy and Physiology II,BIOL 222,3,200,"BIOL 221, BIOL 221L",BIOL 222L,,,['OTHER'],['General Elective']
BIOL - Biology,Human Anatomy and Physiology II Lab ,BIOL 222L,1,200,"BIOL 221, BIOL 221L",BIOL 222,,,['OTHER'],['General Elective']
BIOL - Biology,Environmental Biology ,BIOL 242,3,200,"BIOL 101, BIOL 101L",BIOL 242L,,,['OTHER'],['General Elective']
BIOL - Biology,Environmental Biology Lab,BIOL 242L,1,200,"BIOL 101, BIOL 101L",BIOL 242,,,['OTHER'],['General Elective']
BIOL - Biology,Vertebrate Biology: Anatomy,BIOL 255,3,200,"BIOL 101, BIOL 101L",BIOL 255L,,,['OTHER'],['General Elective']
BIOL - Biology,Vertebrate Biology: Anatomy Lab,BIOL 255L,1,200,"BIOL 101, BIOL 101L",BIOL 255,,,['OTHER'],['General Elective']
BIOL - Biology,Vertebrate Biology: Development,BIOL 256,3,200,"BIOL 101, BIOL 101L",BIOL 256L,,,['OTHER'],['General Elective']
BIOL - Biology,Vertebrate Biology: Development Lab,BIOL 256L,1,200,"BIOL 101, BIOL 101L",BIOL 256,,,['OTHER'],['General Elective']
BIOL - Biology,Microbiology,BIOL 270,3,200,"BIOL 101, BIOL 101L, CHEM 203, CHEM 233",,,,['OTHER'],['General Elective']
BIOL - Biology,Microbiology Lab,BIOL 270L,1,200,"BIOL 101, BIOL 101L, CHEM 203, CHEM 234",BIOL 270,,,['OTHER'],['General Elective']
BIOL - Biology,Mathematical Modeling of Biological Systems,BIOL 280,3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Bioinformatics I,BIOL 285,3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Bioinformatics I Lab,BIOL 285L,1,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Practical Tools for Bioinformatics,BIOL 286,3,200,"MATH 110, BIOL 101, BIOL 102",,,,['OTHER'],['General Elective']
BIOL - Biology,Practical Tools for Bioinformatics Lab,BIOL 286L,1,200,"MATH 110, BIOL 101, BIOL 103",BIOL 286L,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 290,1 to 3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 291,1 to 3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 292,1 to 3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 293,1 to 3,200,,,,,['OTHER'],['General Elective']
BIOL - Biology,Genetic Principles,BIOL 305,3,300,"BIOL 101, BIOL 101L, CHEM 203, CHEM 233",,,,['OTHER'],['General Elective']
BIOL - Biology,Genetic Principles Lab,BIOL 305L,1,300,"BIOL 101, BIOL 101L, CHEM 203, CHEM 234",BIOL 305,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Plant Biology ,BIOL 313,3,300,"BIOL 102, BIOL 102L, CHEM 234, CHEM 204",,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Plant Biology Lab,BIOL 313L,1,300,"BIOL 102, BIOL 102L, CHEM 234, CHEM 205",BIOL 313,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology I,BIOL 343,3,300,"BIOL 305, BIOL 313, CHEM 234",,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology I Lab,BIOL 343L,1,300,"BIOL 305, BIOL 313, CHEM 235",BIOL 343,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology II,BIOL 344,3,300,"BIOL 343, BIOL 305, BIOL 313, BIOL 343",,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology II Lab,BIOL 344L,1,300,"BIOL 343, BIOL 305, BIOL 313, BIOL 344",BIOL 344,,,['OTHER'],['General Elective']
BIOL - Biology,Genetic Principles,BIOL 350,3,300,"BIOL 101, BIOL 101L, CHEM 233, CHEM 203",BIOL 350L,,,['OTHER'],['General Elective']
BIOL - Biology,Genetic Principles Lab,BIOL 350L,1,300,,BIOL 350,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology,BIOL 360,3,300,"BIOL 350, BIOL 350L",BIOL 360L,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Cell Biology Lab,BIOL 360L,1,300,"BIOL 350, BIOL 350L",BIOL 360,,,['OTHER'],['General Elective']
BIOL - Biology,Introduction to Cancer Biology,BIOL 370,3,300,,BIOL 370L,,,['OTHER'],['General Elective']
BIOL - Biology,Introduction to Cancer Biology Lab,BIOL 370L,1,300,,BIOL 370,,,['OTHER'],['General Elective']
BIOL - Biology,Special Problems in Biology,BIOL 390,3,300,,,,,['OTHER'],['General Elective']
BIOL - Biology,Special Problems in Biology Honors,BIOL 390H,3,300,Honors with 3.0 GPA,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 391, 1 to 3,300,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 392,1 to 3,300,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 393,1 to 3,300,,,,,['OTHER'],['General Elective']
BIOL - Biology,Undergraduate Research ,BIOL 394,1 to 3,300,,,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Methods,BIOL 410,3,400,"BIOL 313, BIOL 313L or NSCI 361, NSCI 361L",BIOL 410L,,,['OTHER'],['General Elective']
BIOL - Biology,Molecular Methods Lab,BIOL 410L,1,400,"BIOL 313, BIOL 313L or NSCI 361, NSCI 361L",BIOL 410,,,['OTHER'],['General Elective']
BIOL - Biology,Introduction to Neurobiology,BIOL 420,3,400,"BIOL 221, BIOL 222, or Instructor Permission",BIOL 420L,,,['OTHER'],['General Elective']
BIOL - Biology,Introduction to Neurobiology Lab,BIOL 420L,1,400,"BIOL 221, BIOL 222, or Instructor Permission",BIOL 420,,,['OTHER'],['General Elective']
BIOL - Biology,Essential Developmental Biology,BIOL 440,3,400,"BIOL 101, BIOL 360 or BIOL 410",BIOL 440L,,,['OTHER'],['General Elective']
BIOL - Biology,Essential Developmental Biology Lab,BIOL 440L,1,400,"BIOL 101, BIOL 360 or BIOL 410",BIOL 440,,,['OTHER'],['General Elective']
BIOL - Biology,"Brain, Behavior and Neuropharmacology",BIOL 450,3,400,"BIOL 420, BIOL 420L",BIOL 450L,,,['OTHER'],['General Elective']
BIOL - Biology,"Brain, Behavior and Neuropharmacology Lab",BIOL 450L,1,400,"BIOL 420, BIOL 420L",BIOL 450,,,['OTHER'],['General Elective']
BIOL - Biology,Senior Seminar ,BIOL 497,1,400,,,,,['OTHER'],['General Elective']
BIOL - Biology,Senior Seminar,BIOL 498,1,400,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Experiments in General Chemistry I,CHEM 103,1,100,,CHEM 113,,,['OTHER'],['General Elective']
CHEM - Chemistry,Experiments in General Chemistry II,CHEM 104,1,100,"CHEM 103, CHEM 113",CHEM 114,,,['OTHER'],['General Elective']
CHEM - Chemistry,General Chemistry I,CHEM 113,3,100,,CHEM 103,,,['OTHER'],['General Elective']
CHEM - Chemistry,General Chemistry II,CHEM 114,3,100,"CHEM 103, CHEM 113",CHEM 104,,,['OTHER'],['General Elective']
CHEM - Chemistry,Experiments in Organic Chemistry I,CHEM 203,1,200,,CHEM 233,,,['OTHER'],['General Elective']
CHEM - Chemistry,Experiments in Organic Chemistry II,CHEM 204,1,200,"CHEM 203, CHEM 233",CHEM 234,,,['OTHER'],['General Elective']
CHEM - Chemistry,Experiments in Organic and Analytical Chemistry,CHEM 206,2,200,"CHEM 233, CHEM 234",,,,['OTHER'],['General Elective']
CHEM - Chemistry,Organic Chemistry I,CHEM 233,3,200,"CHEM 114, CHEM 104",CHEM 203,,,['OTHER'],['General Elective']
CHEM - Chemistry,Organic Chemistry II,CHEM 234,3,200,"CHEM 233, CHEM 234",CHEM 204 or CHEM 206,,,['OTHER'],['General Elective']
CHEM - Chemistry,Inorganic Chemistry ,CHEM 316,3,300,CHEM 342,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Physical Chemistry I,CHEM 341,3,300,"CHEM 114, MATH 120",CHEM 341L,,,['OTHER'],['General Elective']
CHEM - Chemistry,Physical Chemistry I Laboratory,CHEM 341L,1,300,"CHEM 114, MATH 120",CHEM 341,,,['OTHER'],['General Elective']
CHEM - Chemistry,Physical Chemistry II,CHEM 342,3,300,CHEM 341,CHEM 342L,,,['OTHER'],['General Elective']
CHEM - Chemistry,Physical Chemistry II Laboratory,CHEM 342L,1,300,CHEM 341,CHEM 342,,,['OTHER'],['General Elective']
CHEM - Chemistry,Senior Research I,CHEM 355,3,300,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Senior Research II,CHEM 356,3,300,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Chemical Colloquium,CHEM 401,0.5,400,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Chemical Colloquium,CHEM 402,0.5,400,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Chemical Literature,CHEM 450,1,400,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,History and Philosophy of Chemistry,CHEM 457,1,400,,,,,['OTHER'],['General Elective']
CHEM - Chemistry,Analytical Chemistry,CHEM 470,3,400,CHEM 342,CHEM 470L,,,['OTHER'],['General Elective']
CHEM - Chemistry,Analytical Chemistry Laboratory,CHEM 470L,1,400,,CHEM 470,,,['OTHER'],['General Elective']
CORE - Core Curriculum,New Student Orientation,CORE 100,1,100,,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,Critical Thinking,CORE 120,2,100,,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,Essential Mathematics for a Contemporary World,CORE 131,3,100,,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,Essential Mathematics for a Contemporary World II,CORE 132,3,100,,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,African American Heritage,CORE 140,3,100,,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,Composition I,CORE 150,3,100,,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,Composition II,CORE 160,3,100,CORE 150,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,Introduction to Business and Entrepreneurship,CORE 201,3,200,CORE 160,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,Introduction to Social Justice,CORE 210,3,200,,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,The Creative Arts,CORE 220,3,200,,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,Natural Science ,CORE 240,3,200,CORE 131,,,,['OTHER'],['General Elective']
CORE - Core Curriculum,Humanities,CORE 260,3,200,CORE 160,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CORE - Core Curriculum,The World and its Peoples,CORE 360,3,300,CORE 260,,,,"['Computer Science', 'Data Science', 'Mathematics']","['Core', 'Core', 'Core:']"
CRJ - Criminal Justice,Introduction to Criminal Justice,CRJ 200,3,200,,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Police and Society,CRJ 210,3,200,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Corrections,CRJ 220,3,200,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Women and Crime,CRJ 260,3,200,,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Research and Technology in Criminal justice,CRJ 300,3,300,"HSS 280, CRJ 200",,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Crime Victims,CRJ 342,3,300,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Comparative Criminal Justice,CRJ 365,3,300,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Global Terrorism,CRJ 374,3,300,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Cyber Security,CRJ 384,3,300,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,White Collar Crime,CRJ 385,3,300,CRJ 200,,,,['OTHER'],['General Elective']
CRJ - Criminal Justice,Senior Seminar,CRJ 499,3,400,,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Introduction to Computing,CSCI 100,3,100,,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Introduction to Computer Science I,CSCI 110,3,100,MATH 110,CSCI 110L,,,"['Computer Science', 'Data Science', 'Mathematics']","['Major Requirements', 'CS Requirements', 'Cognates']"
CSCI - Computer Science,Introduction to Computer Science I Laboratory,CSCI 110L,1,100,,CSCI 110,,,"['Computer Science', 'Data Science', 'Mathematics']","['Major Requirements', 'CS Requirements', 'Cognates']"
CSCI - Computer Science,Introduction to Computer Science II,CSCI 120,3,100,CSCI 110,CSCI 120L,,,"['Computer Science', 'Data Science', 'Mathematics']","['Major Requirements', 'CS Requirements', 'Cognates']"
CSCI - Computer Science,Introduction to Computer Science II Laboratory,CSCI 120L,1,100,,CSCI 120,,,"['Computer Science', 'Data Science', 'Mathematics']","['Major Requirements', 'CS Requirements', 'Cognates']"
CSCI - Computer Science,Sophomore Seminar,CSCI 210,3,200,,,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Introduction to Computer Architecture,CSCI 230,3,200,CSCI 120,CSCI 230L,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Introduction to Computer Architecture Laboratory,CSCI 230L,1,200,,CSCI 230,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Data Structures and Algorithms,CSCI 241,3,200,CSCI 120,CSCI 241L,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Data Structures and Algorithms Laboratory,CSCI 241L,1,200,,CSCI 241,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Operating Systems,CSCI 261,3,200,"CSCI 230, CSCI 241",CSCI 261L,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Operating Systems Laboratory,CSCI 261L,1,200,,CSCI 261,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Mathematical Modeling of Biological Systems,CSCI 280,3,200,,CSCI 280L,,,['OTHER'],['General Elective']
CSCI - Computer Science,Mathematical Modeling of Biological Systems Laboratory,CSCI 280L,1,200,,CSCI 280,,,['OTHER'],['General Elective']
CSCI - Computer Science,Programming Languages,CSCI 282,3,200,"CSCI 230, CSCI 241",CSCI 282L,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Programming Languages Laboratory,CSCI 282L,1,200,,CSCI 282,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Bioinformatics I,CSCI 285,3,200,,CSCI 285L,,,['OTHER'],['General Elective']
CSCI - Computer Science,Bioinformatics I Laboratory,CSCI 285L,1,200,,CSCI 285,,,['OTHER'],['General Elective']
CSCI - Computer Science,Practical Tools for Bioinformatics,CSCI 286,3,200,MATH 110,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Theory of Computation,CSCI 291,3,200,"CSCI 241, MATH 125",,,,['Computer Science'],['Major Requirements']
CSCI - Computer Science,Junior Seminar,CSCI 310,1,300,,,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Database Management ,CSCI 312,3,300,CSCI 241,CSCI 312L,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Database Management Laboratory,CSCI 312L,1,300,,CSCI 312,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Numerical Analysis,CSCI 320,3,300,"CSCI 120, MATH 130",,,,['OTHER'],['General Elective']
CSCI - Computer Science,Computer Networks and Distributed Systems ,CSCI 360,3,300,CSCI 230,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Software Engineering,CSCI 370,3,300,CSCI 241,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Machine Learning,CSCI 380,3,300,"CSCI 241, MATH 130, MATH 240",CSCI 380L,,,['Data Science'],['CS Requirements']
CSCI - Computer Science,Machine Learning Laboratory,CSCI 380L,1,300,,CSCI 380,,,['Data Science'],['CS Requirements']
CSCI - Computer Science,Special Topics ,CSCI 390,3 to 4,300,,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Special Topics: Machine Learning for Social Sciences,CSCI 390M,3,300,,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Independent Study ,CSCI 398,1 to 4,300,,,,,['OTHER'],['General Elective']
CSCI - Computer Science,Senior Seminar I,CSCI 411,2,400,,,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
CSCI - Computer Science,Senior Seminar II,CSCI 412,2,400,,,,,"['Computer Science', 'Data Science']","['Major Requirements', 'CS Requirements']"
ECON - Economics,Principles of Microeconomics,ECON 230,3,200,MATH 101,,,,['OTHER'],['General Elective']
ECON - Economics,Principles of Macroeconomics,ECON 240,3,200,MATH 101,,,,['OTHER'],['General Elective']
ECON - Economics,Foundations of Financial Economics,ECON 300,2,300,"BAD 200, BAD 260, ECON 230, ECON 240",,,,['OTHER'],['General Elective']
ECON - Economics,Managerial Economics,ECON 330,3,300,"ECON 230, MATH 101, BAD 260",,,,['OTHER'],['General Elective']
ECON - Economics,Macroeconomic Analysis,ECON 340,3,300,"ECON 240, BAD 200 or MATH 120",,,,['OTHER'],['General Elective']
ECON - Economics,Microeconomic Analysis,ECON 340A,3,300,ECON 230,,,,['OTHER'],['General Elective']
ECON - Economics,International Economics,ECON 350,3,300,"ECON 230, ECON 240",,,,['OTHER'],['General Elective']
ECON - Economics,Introduction to Econometrics,ECON 370,3,300,"ECON 230, ECON 240, BAD 200, BAD 260",,,,['OTHER'],['General Elective']
ECON - Economics,Topics in Economics,ECON 400,1 to 4,400,"ECON 330, ECON 340",,,,['OTHER'],['General Elective']
ECON - Economics,Business Ethics,ECON 400R,3,400,"ECON 330, ECON 340",,,,['OTHER'],['General Elective']
ECON - Economics,Economics of Development,ECON 450,3,400,"ECON 230, ECON 240",,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Health and Physical Activity,EDUC 100,3,100,,,,,['OTHER'],['General Elective']
EDUC - Education,Educational Psychology,EDUC 248,3,200,,,,,['OTHER'],['General Elective']
EDUC - Education,Fundamental Responsibilities of Teaching ,EDUC 250,1,200,,,,,['OTHER'],['General Elective']
EDUC - Education,Theory and Pratice of Teaching ,EDUC 260,3,200,,,,,['OTHER'],['General Elective']
EDUC - Education,Teaching Reading in the Elementary Schools I,EDUC 310,3,300,,,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Curriculum and Methods I ,EDUC 320,3,300,"EDUC 250, PSY 205, Admission to the elementary Teacher Education Program ",,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Curriculum and Methods ,EDUC 320BL,3,300,"EDUC 250, EDUC 260, PSY 205",,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Curriculum and Methods II,EDUC 330,3,300,"EDUC 250, PSY 205, Admission to the elementary Teacher Education Program ",,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Curriculum and Methods I ,EDUC 340,3,300,"EDUC 250, PSY 205, Admission to the Secondary Teacher Education Program ",,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Curriculum and Methods I,EDUC 340BL,3,300,"EDUC 250, EDUC 260, PSY 205",,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Curriculum and Methods II ,EDUC 350,3,300,"EDUC 250, PSY 205, Admission to the Secondary Teacher Education Program ",,,,['OTHER'],['General Elective']
EDUC - Education,Teaching Reading in the Elementary Schools II,EDUC 360,3,300,,,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Student Teaching ,EDUC 400,9,400,"EDUC 320, EDUC 330, Admission to the Elementary Teacher Education Program ",,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Student Teaching II,EDUC 400N,9,400,"EDUC 320, EDUC 330",,,,['OTHER'],['General Elective']
EDUC - Education,Elementary Student Seminar ,EDUC 410,3,400,,EDUC 400,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Student Teaching ,EDUC 450,9,400,"EDUC 340, EDUC 350, Admission to the Secondary Teacher Education Program ",EDUC 460,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Student Teaching II,EDUC 450N,9,400,"EDUC 340, EDUC 350",,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Student Seminar ,EDUC 460,3,400,,EDUC 450,,,['OTHER'],['General Elective']
EDUC - Education,Secondary Education Seminar II,EDUC 460M,3,400,EDUC 340,,,,['OTHER'],['General Elective']
ENG - English,Advanced Composition ,ENG 146,3,100,,,,,['OTHER'],['General Elective']
ENG - English,Writers' Workshop,ENG 150,3,100,,,,,['OTHER'],['General Elective']
ENG - English,Studies in Literature,ENG 180,3,100,,,,,['OTHER'],['General Elective']
ENG - English,Survey of American Literature,ENG 220,3,200,,,,,['OTHER'],['General Elective']
ENG - English,American Literature II - Figure ,ENG 222,3,200,ENG 220,,,,['OTHER'],['General Elective']
ENG - English,American Literature II - Period,ENG 224,3,200,ENG 220,,,,['OTHER'],['General Elective']
ENG - English,American Literature II - Genre,ENG 226,3,200,ENG 220,,,,['OTHER'],['General Elective']
