Course,Parsed_Prereqs
HON 221,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 222,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 311,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 312,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 321,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 322,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 411,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 412,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 421,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 422,"[['ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM'], ['3.0', 'BETTER GRADE POINT AVERAGE']]"
HON 497,[['NAN']]
HON 498,[['NAN']]
HSS 170,[['NAN']]
HSS 170L,[['NAN']]
HSS 180,[['NAN']]
HSS 220,[['NAN']]
HSS 229,[['NAN']]
HSS 235,[['NAN']]
HSS 237,[['NAN']]
HSS 238,[['NAN']]
HSS 240,[['INSTRUCTOR PERMISSION']]
HSS 242,[['NAN']]
HSS 250,[['NAN']]
HSS 280,[['CORE 130']]
HSS 290,[['NAN']]
HSS 380,[['NAN']]
HSS 380A,[['NAN']]
IND 101,[['NAN']]
IND 111,[['NAN']]
IND 113,[['NAN']]
IND 205,[['NAN']]
IND 206,[['NAN']]
IND 207,[['NAN']]
IND 311,[['NAN']]
INS 101,[['NAN']]
INS 102,[['NAN']]
INS 103,[['NAN']]
INS 104,[['NAN']]
INS 105,[['NAN']]
INS 106,[['NAN']]
INS 107,[['NAN']]
INS 108,[['NAN']]
INS 109,[['NAN']]
INS 110,[['NAN']]
INS 111,[['NAN']]
INS 112,[['NAN']]
KINS 111,[['NAN']]
KINS 120,[['NAN']]
KINS 120L,[['NAN']]
KINS 122,[['NAN']]
KINS 122L,[['NAN']]
KINS 123,[['NAN']]
KINS 125,[['NAN']]
KINS 125L,[['NAN']]
KINS 132,[['NAN']]
KINS 133,[['NAN']]
KINS 133L,[['NAN']]
KINS 134,[['NAN']]
KINS 243,[['NAN']]
KINS 243L,[['NAN']]
KINS 275,[['NAN']]
KINS 275L,[['NAN']]
KINS 278,[['NAN']]
KINS 320,[['NAN']]
KINS 320L,[['NAN']]
KINS 322,[['NAN']]
KINS 322L,[['NAN']]
KINS 369,[['NAN']]
KINS 369L,[['NAN']]
KINS 370,"[['KINS 132', 'BIOL 221']]"
KINS 375,"[['KINS 132', 'BIOL 101']]"
KINS 381,[['NAN']]
KINS 382,[['NAN']]
KINS 390,[['NAN']]
KINS 391,[['NAN']]
KINS 400,[['NAN']]
KINS 401,[['NAN']]
KINS 407,[['NAN']]
KINS 414,[['NAN']]
KINS 420,[['NAN']]
KINS 425,[['NAN']]
KINS 464,[['NAN']]
KINS 475,[['NAN']]
KINS 478,[['NAN']]
KINS 486,[['NAN']]
MATH 100,[['NAN']]
MATH 101,"[['MATH 100', 'COMPLETION OF HIGH SCHOOL ALGEBRA', 'PASS SCORE ON PLACEMENT TEST']]"
MATH 110,"[['MATH 101', 'COMPLETION OF HIGH SCHOOL ALGEBRA', 'PASS SCORE ON PLACEMENT TEST']]"
MATH 120,"[['MATH 110', 'COMPLETION OF HIGH SCHOOL ALGEBRA'], ['HIGH SCHOOL TRIGONOMETRY', 'PASS SCORE ON PLACEMENT TEST']]"
MATH 121,"[['MATH 110', 'COMPLETION OF HIGH SCHOOL ALGEBRA'], ['HIGH SCHOOL TRIGONOMETRY', 'PASS SCORE ON PLACEMENT TEST']]"
MATH 125,[['MATH 110']]
MATH 130,[['MATH 120']]
MATH 200S,"[['MATH 101', 'CORE 130'], ['AND NOT MATH 220']]"
MATH 202,[['MATH 130']]
MATH 210,[['MATH 130']]
MATH 220,[['MATH 120']]
MATH 240,[['MATH 130']]
MATH 270,[['MATH 130']]
MATH 280,[['NAN']]
MATH 285,[['NAN']]
MATH 320,[['MATH 240']]
MATH 353,[['MATH 240']]
MATH 390,[['NAN']]
MATH 390B,[['NAN']]
MATH 395,[['NAN']]
MATH 398,[['DISCIPLINE COORDINATOR PERMISSION']]
MGT 280,[['NAN']]
MGT 320,[['MGT 280']]
MGT 330,[['BAD 260']]
MGT 340,[['MGT 280']]
MGT 350,[['MGT 280']]
MGT 380,[['NAN']]
MGT 400,[['INSTRUCTOR PERMISSION']]
MGT 405,[['NAN']]
MGT 422,[['BAD 320']]
MKT 300,[['NAN']]
MKT 310,[['NAN']]
MKT 320,[['NAN']]
MKT 330,[['NAN']]
MKT 340,[['NAN']]
MKT 350,[['NAN']]
MKT 360,[['NAN']]
MKT 370,[['NAN']]
MKT 380,[['NAN']]
MKT 400,[['NAN']]
MKT 410,[['NAN']]
MKT 420,[['MKT 300']]
MS 111,[['NAN']]
MS 113,[['NAN']]
MS 151,[['NAN']]
MS 152,[['NAN']]
MS 211,[['NAN']]
MS 212,[['NAN']]
MS 251,[['NAN']]
MS 252,[['NAN']]
MUS 050X,[['NAN']]
MUS 052X,"[['MUS 050X', 'AUDITION']]"
MUS 053X,"[['MUS 052X', 'AUDITION']]"
MUS 054X,"[['MUS 053X', 'AUDITION']]"
MUS 060B,"[['MUS 250B', 'AUDTION']]"
MUS 070X,[['NAN']]
MUS 100,[['NAN']]
MUS 101,[['MUS 100']]
MUS 101L,[['NAN']]
MUS 102,[['NAN']]
MUS 102L,[['NAN']]
MUS 110,"[['AUDITION', 'INSTRUCTOR PERMISSION']]"
MUS 120,"[['MUS 100'], ['CSCI 100']]"
MUS 150A,[['NAN']]
MUS 150B,[['NAN']]
MUS 151,[['AUDITION']]
MUS 152,[['AUDITION']]
MUS 157,[['NAN']]
MUS 158,[['NAN']]
MUS 160A,"[['MUS 060B', ""INSTRUCTOR'S PERMISSION""]]"
MUS 160B,"[['MUS 060B', ""INSTRUCTOR'S PERMISSION""]]"
MUS 161,[['AUDITION']]
MUS 162,[['AUDITION']]
MUS 170A,[['NAN']]
MUS 170B,[['NAN']]
MUS 171,[['VOICE AUDITION']]
MUS 172,[['VOICE AUDITION']]
MUS 200,[['NAN']]
MUS 201,[['MUS 102']]
MUS 202,[['MUS 102']]
MUS 205,[['NAN']]
MUS 206,[['NAN']]
MUS 207,[['NAN']]
MUS 208,[['NAN']]
MUS 225,[['AUDITION']]
MUS 226,[['PERMISSION OF THE DIRECTOR']]
MUS 227,[['NAN']]
MUS 228,[['AUDITION']]
MUS 229,[['AUDITION']]
MUS 250A,"[['MUS 150A'], ['MUS 150B']]"
MUS 250B,"[['MUS 150A'], ['MUS 150B']]"
MUS 251,[['MUS 152']]
MUS 252,[['MUS 152']]
MUS 253,[['MUS 152']]
MUS 254,[['MUS 152']]
MUS 260A,[['MUS 160B']]
MUS 260B,[['MUS 160B']]
MUS 261,[['MUS 162']]
MUS 262,[['MUS 162']]
MUS 263,[['MUS 162']]
MUS 264,[['MUS 162']]
MUS 270A,[['MUS 170B']]
MUS 270B,[['MUS 170B']]
MUS 271,[['MUS 172']]
MUS 272,[['MUS 172']]
MUS 273,[['MUS 172']]
MUS 274,[['MUS 172']]
MUS 281,[['NAN']]
MUS 282,[['NAN']]
MUS 303,[['NAN']]
MUS 305,[['NAN']]
MUS 307,[['NAN']]
MUS 308,[['NAN']]
MUS 313,[['NAN']]
MUS 315,[['NAN']]
MUS 320,[['NAN']]
MUS 323,[['NAN']]
MUS 324,[['NAN']]
MUS 350,[['NAN']]
MUS 351,[['NAN']]
MUS 352,[['N']]
MUS 355,"[['MUS 254'], ['JUNIOR RECITAL']]"
MUS 356,"[['MUS 254'], ['JUNIOR RECITAL']]"
MUS 360,[['NAN']]
MUS 361,[['MUS 262']]
MUS 362,[['MUS 262']]
MUS 365,"[['MUS 254'], ['JUNIOR RECITAL']]"
MUS 366,"[['MUS 254'], ['JUNIOR RECITAL']]"
MUS 370,[['NAN']]
MUS 371,"[['MUS 272'], ['MUS 157', 'MUS 158']]"
MUS 372,"[['MUS 272'], ['MUS 157', 'MUS 158']]"
MUS 375,"[['MUS 274'], ['JUNIOR RECITAL']]"
MUS 376,"[['MUS 274'], ['JUNIOR RECITAL']]"
MUS 381,[['NAN']]
MUS 382,[['NAN']]
MUS 383,[['NAN']]
MUS 384,[['NAN']]
MUS 390,[['NAN']]
MUS 420,[['NAN']]
MUS 430,[['NAN']]
MUS 440,[['NAN']]
MUS 450,[['NAN']]
MUS 451,"[['MUS 352'], ['MINI RECITAL']]"
MUS 452,[['MUS 352']]
MUS 455,"[['MUS 356'], ['SENIOR RECITAL']]"
MUS 456,"[['MUS 356'], ['SENIOR RECITAL']]"
MUS 460,[['NAN']]
MUS 461,"[['MUS 362'], ['MINI RECITAL']]"
MUS 462,"[['MUS 362'], ['MINI RECITAL']]"
MUS 465,"[['MUS 366'], ['SENIOR RECITAL']]"
MUS 466,"[['MUS 366'], ['SENIOR RECITAL']]"
MUS 470,[['NAN']]
MUS 471,"[['MUS 372'], ['SENIOR RECITAL']]"
MUS 472,"[['MUS 372'], ['SENIOR RECITAL']]"
MUS 475,[['MUS 376']]
MUS 476,[['MUS 376']]
MUS 481,[['NAN']]
MUS 482,[['NAN']]
MUS 490,[['NAN']]
NSCI 110,[['NAN']]
NSCI 285,[['NAN']]
NSCI 285L,[['NAN']]
NSCI 286,"[['MATH 110'], ['BIOL 101'], ['BIOL 102']]"
NSCI 290,[['NAN']]
NSCI 291,[['NAN']]
NSCI 292,[['NAN']]
NSCI 293,[['NAN']]
NSCI 323,[['NAN']]
NSCI 323L,[['NAN']]
NSCI 324,"[['NSCI 323'], ['NSCI 323L']]"
NSCI 360,[['MATH 130']]
NSCI 361,[['CHEM 234']]
NSCI 361L,[['NAN']]
NSCI 362,[['NSCI 361']]
NSCI 362L,[['NAN']]
NSCI 390,[['NAN']]
NSCI 390S,[['NAN']]
NSCI 391S,[['NSCI 390S']]
NSCI 392,[['NAN']]
NSCI 393,[['NAN']]
NS 131,[['NAN']]
NS 241,[['NAN']]
PHO 121,[['NAN']]
PHO 351,[['NAN']]
PHYS 110,[['NAN']]
PHYS 117,[['MATH 110']]
PHYS 117L,[['MATH 110']]
PHYS 118,[['PHYS 117']]
PHYS 118L,[['PHYS 117']]
PHYS 130,[['MATH 110']]
PHYS 130L,[['MATH 110']]
PHYS 140,[['PHYS 130']]
PHYS 140L,[['PHYS 130']]
PHYS 232,"[['PHYS 140', 'PHYS 118']]"
PHYS 234,"[['PHYS 140', 'PHYS 118']]"
PHYS 252,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 120']]"
PHYS 262,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 120']]"
PHYS 323,[['NAN']]
PHYS 323L,[['NAN']]
PHYS 324,"[['PHYS 323'], ['PHYS 323L']]"
PHYS 330,[['PHYS 130']]
PHYS 340,[['NAN']]
PHYS 341,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 120']]"
PHYS 351,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 210']]"
PHYS 359,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 130']]"
PHYS 381,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 210']]"
PHYS 382,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 210']]"
PHYS 430,[['PHYS 330']]
PHYS 441,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 210']]"
PHYS 451,"[['PHYS 341'], ['MATH 210']]"
PHYS 472,"[['PHYS 130', 'PHYS 117'], ['PHYS 140', 'PHYS 118'], ['MATH 210']]"
PHYS 490,[['NAN']]
PSCI 111,[['NAN']]
PSCI 122,[['NAN']]
PSCI 130,[['NAN']]
PSCI 205,[['NAN']]
PSCI 212,[['NAN']]
PSCI 216,[['NAN']]
PSCI 221,[['NAN']]
PSCI 228,[['NAN']]
PSCI 231,[['NAN']]
PSCI 232,[['NAN']]
PSCI 245,[['NAN']]
PSCI 252,[['NAN']]
PSCI 254,[['NAN']]
PSCI 305,"[['JUNIOR', 'INSTRUCTOR PERMISSION']]"
PSCI 310,[['JUNIOR']]
PSCI 314,[['NAN']]
PSCI 320,[['NAN']]
PSCI 321,[['NAN']]
PSCI 340,[['NAN']]
PSCI 342,[['NAN']]
PSCI 406,[['NAN']]
PSCI 442,[['SENIOR']]
PSY 180,[['NAN']]
PSY 205,[['PSY 180']]
PSY 217,[['PSY 180']]
PSY 221,[['PSY 180']]
PSY 224,"[['PSY 180'], ['HSS 280']]"
PSY 231,[['PSY 180']]
PSY 231H,[['PSY 180']]
PSY 256,[['PSY 180']]
PSY 262,"[['PSY 180'], ['HSS 280']]"
PSY 310,[['PSY 180']]
PSY 341,[['PSY 180']]
PSY 348,[['PSY 180']]
PSY 374,[['PSY 180']]
PSY 380,[['PSY 180']]
PSY 380R,[['PSY 180']]
PSY 450,[['NAN']]
PSY 481,[['SENIOR']]
