Student_ID,Major,Year,Courses_Taken,is Honors or Regular
F00123,Data Science,Freshman,"BAD 260, CSCI 312, CSCI 110L, CORE 201, CSCI 310, MATH 390B",Regular
F00033,Computer Science,Junior,"CSCI 230L, CSCI 261, CSCI 230, CORE 150",Regular
F00205,Math,Junior,"MATH 320, CSCI 110, CORE 100, NSCI 360, MATH 210, MATH 395",Regular
F00163,Computer Science,Junior,"CSCI 241L, CSCI 261L, MATH 240, CORE 160, CSCI 412, CSCI 282",Regular
F00210,Computer Science,Senior,"CORE 100, CORE 260, CSCI 230, CORE 360, CORE 150, CSCI 120L",Regular
F00286,Data Science,Senior,"CSCI 120L, CSCI 412, CORE 150, CORE 360, CSCI 411, CSCI 380L",Regular
F00139,Data Science,Freshman,"MATH 120, CSCI 120, CORE 100, CORE 260, CSCI 380L, CSCI 241L, CSCI 110, CSCI 310",Regular
F00063,Computer Science,Senior,"CSCI 120, MATH 130, CORE 260, CSCI 312L, CORE 150, CSCI 282L",Honors
F00136,Data Science,Senior,"CSCI 411, MATH 240, CSCI 120L, CORE 201, CSCI 120, CSCI 412",Honors
F00129,Computer Science,Freshman,"CSCI 261, CSCI 282L, CSCI 110, MATH 125, CSCI 261L, CORE 160, CSCI 210",Regular
F00291,Computer Science,Senior,"MATH 120, CORE 120, CSCI 312, CSCI 120",Honors
F00009,Computer Science,Senior,"MATH 125, CSCI 230, CSCI 282L, NSCI 360, CSCI 312L, CSCI 261, CORE 160, CORE 100",Honors
F00071,Data Science,Sophomore,"BAD 260, MATH 120, CSCI 110, CORE 360, CSCI 380L",Regular
F00265,Data Science,Senior,"BAD 260, CSCI 120, CSCI 412, CSCI 312L",Honors
F00065,Data Science,Junior,"CSCI 110L, MATH 240, NSCI 360, CORE 100, CSCI 412, CSCI 120, MATH 130",Honors
F00045,Math,Freshman,"NSCI 360, MATH 395, CORE 150, MATH 210, CORE 120",Honors
F00280,Math,Junior,"CORE 160, PHYS 130, CORE 120, CORE 150, MATH 270",Regular
F00157,Data Science,Junior,"HSS 290, CORE 360, MATH 120, CSCI 120L",Regular
F00041,Math,Junior,"NSCI 360, CORE 360, MATH 353, CORE 201, PHYS 130L, MATH 220",Regular
F00124,Math,Sophomore,"CORE 150, MATH 130, MATH 270, PHYS 130L, CORE 260, MATH 210",Honors
F00276,Data Science,Sophomore,"MATH 240, CSCI 120L, CORE 201, CSCI 310, CSCI 312L, CSCI 110, MATH 130, CSCI 380L",Regular
F00217,Math,Freshman,"CSCI 120L, CORE 100, MATH 130, MATH 120, MATH 270, MATH 320, MATH 395, CORE 120",Honors
F00154,Computer Science,Senior,"CSCI 312L, CSCI 411, CSCI 120L",Regular
F00024,Math,Sophomore,"MATH 320, CORE 201, PHYS 130, NSCI 360, CORE 260, MATH 220, CORE 120, PHYS 130L",Honors
F00262,Math,Sophomore,"CORE 260, MATH 353, CORE 360, PHYS 130L, CSCI 120L, MATH 240, MATH 220, MATH 270",Regular
F00111,Math,Freshman,"MATH 210, MATH 240, MATH 353, CSCI 120L",Regular
F00082,Data Science,Sophomore,"NSCI 360, CSCI 241L, MATH 120",Honors
F00208,Computer Science,Sophomore,"CSCI 261, CSCI 120, CORE 160, CSCI 241L, CSCI 310, CSCI 230, CSCI 312L",Honors
F00213,Computer Science,Sophomore,"CSCI 230, CSCI 282L, CSCI 261, CSCI 241L, CSCI 241, MATH 120, CSCI 412",Honors
F00040,Math,Senior,"PHYS 130L, MATH 240, CORE 360, CORE 201, CORE 160, CSCI 120L, MATH 210",Honors
F00241,Math,Sophomore,"CORE 100, CSCI 120L, MATH 270",Regular
F00292,Computer Science,Freshman,"CSCI 110, CSCI 241, CORE 360, CSCI 261",Regular
F00259,Computer Science,Junior,"CSCI 241, CSCI 412, CSCI 282",Honors
F00200,Math,Freshman,"CSCI 120, MATH 270, PHYS 130L",Regular
F00015,Data Science,Freshman,"CSCI 380L, CSCI 312L, NSCI 360, CSCI 312, MATH 240, CSCI 310",Regular
F00048,Computer Science,Junior,"CORE 120, MATH 130, CSCI 120",Honors
F00095,Computer Science,Sophomore,"CSCI 312L, CSCI 282, CSCI 120, CORE 120, MATH 240, CSCI 241L",Honors
F00264,Data Science,Freshman,"CSCI 312, CORE 360, CSCI 312L, CSCI 120L, CORE 260, CSCI 241",Honors
F00228,Math,Sophomore,"CSCI 120L, PHYS 130L, MATH 240, CSCI 110, CORE 150, CSCI 120",Regular
F00274,Data Science,Senior,"CORE 160, CSCI 312, NSCI 360, MATH 120, HSS 290, MATH 130, CSCI 210",Honors
F00202,Computer Science,Senior,"CSCI 312, CORE 160, CSCI 310",Honors
F00162,Math,Junior,"MATH 120, CORE 160, MATH 220, CORE 120",Regular
F00044,Math,Junior,"MATH 353, CORE 120, CORE 260",Honors
F00218,Math,Sophomore,"PHYS 130L, PHYS 130, CORE 360",Honors
F00146,Data Science,Sophomore,"CSCI 110L, CORE 100, CORE 150",Regular
F00191,Math,Sophomore,"CSCI 110, CORE 201, CSCI 120L, CORE 160, CORE 150, MATH 240",Honors
F00221,Computer Science,Junior,"CSCI 411, CSCI 291, CSCI 282, NSCI 360",Honors
F00252,Data Science,Freshman,"CSCI 120L, CSCI 241L, CORE 260",Honors
F00004,Data Science,Senior,"CSCI 310, CSCI 312L, BAD 260, HSS 290, CSCI 380L",Honors
F00106,Math,Senior,"CORE 201, CSCI 120L, CORE 160, CORE 360, MATH 220",Honors
F00054,Math,Senior,"MATH 130, MATH 240, PHYS 130, MATH 353",Regular
F00134,Data Science,Junior,"CSCI 412, CSCI 110, CORE 160, MATH 120",Regular
F00002,Computer Science,Freshman,"CSCI 261, CORE 260, MATH 120",Honors
F00132,Data Science,Sophomore,"NSCI 360, MATH 120, BAD 260, CSCI 120",Regular
F00104,Data Science,Sophomore,"NSCI 360, CSCI 412, CORE 120",Honors
F00050,Computer Science,Sophomore,"CSCI 282L, CSCI 241, CSCI 120L",Honors
F00081,Data Science,Senior,"CSCI 380L, CORE 150, MATH 240, CSCI 411",Honors
F00206,Data Science,Sophomore,"NSCI 360, CSCI 312, MATH 390B, CSCI 120, CORE 100, MATH 130, CSCI 120L",Regular
F00035,Math,Senior,"PHYS 130, CORE 100, MATH 395, MATH 220",Honors
F00092,Computer Science,Senior,"CORE 201, MATH 130, CSCI 312, CSCI 241, CSCI 282, CSCI 110, CSCI 261L, CORE 360",Regular
F00053,Math,Junior,"PHYS 130L, MATH 353, MATH 320, CORE 360",Honors
F00242,Data Science,Freshman,"CSCI 380L, CSCI 210, CSCI 310, CORE 201, BAD 260, CORE 150, CSCI 120L, CSCI 411",Honors
F00014,Data Science,Senior,"NSCI 360, CSCI 120, CORE 260, MATH 120, CORE 360, CORE 100, CSCI 312",Regular
F00089,Computer Science,Junior,"CORE 360, CSCI 110, CORE 150, CSCI 282L",Regular
F00167,Data Science,Senior,"CORE 100, CSCI 120, CSCI 110",Regular
F00295,Data Science,Sophomore,"CORE 100, NSCI 360, CSCI 241, CSCI 310, MATH 120",Regular
F00135,Data Science,Freshman,"CSCI 380L, CORE 201, CSCI 411, CSCI 120, MATH 390B, CORE 160, CSCI 310",Honors
F00288,Data Science,Junior,"CORE 360, BAD 260, CSCI 241, CSCI 241L",Honors
F00244,Computer Science,Sophomore,"MATH 125, CSCI 120, CSCI 230, MATH 240, CORE 360",Regular
F00055,Computer Science,Junior,"MATH 120, CORE 160, CSCI 261, CSCI 411",Regular
F00051,Data Science,Freshman,"CSCI 310, CORE 201, CSCI 380, MATH 390B, CORE 100, CSCI 380L, MATH 120",Regular
F00175,Data Science,Senior,"CSCI 241, CORE 260, CSCI 312L",Honors
F00190,Math,Freshman,"CSCI 120, MATH 320, CSCI 110, MATH 240, MATH 270",Honors
F00299,Data Science,Sophomore,"CSCI 380, CORE 360, MATH 390B",Honors
F00188,Computer Science,Junior,"CSCI 310, MATH 120, MATH 240, NSCI 360, CSCI 312, CORE 260, CSCI 261L",Honors
F00170,Computer Science,Freshman,"CSCI 210, CSCI 230L, CSCI 110L, CSCI 230, CSCI 110, CSCI 312, CSCI 241",Regular
F00059,Data Science,Sophomore,"MATH 240, CORE 100, HSS 290, CORE 150, CSCI 120L, CORE 260, CSCI 310",Honors
F00049,Data Science,Junior,"CSCI 110L, MATH 125, CSCI 241L",Honors
F00236,Computer Science,Junior,"CORE 201, CSCI 411, CSCI 120, CSCI 282L, CORE 360, CSCI 291",Regular
F00253,Computer Science,Senior,"MATH 240, CORE 201, CSCI 312, CSCI 291, NSCI 360, CSCI 310",Regular
F00022,Math,Freshman,"MATH 220, CSCI 110L, MATH 210, CSCI 120",Honors
F00161,Math,Freshman,"PHYS 130L, MATH 210, MATH 395, CORE 120, CORE 150, CORE 260",Honors
F00277,Math,Senior,"MATH 240, CORE 201, CORE 260, MATH 353, MATH 120, CSCI 110, CORE 100",Regular
F00192,Computer Science,Freshman,"CORE 120, CSCI 282L, MATH 240, CSCI 110L",Honors
F00258,Data Science,Sophomore,"CSCI 110L, MATH 390B, CORE 120, HSS 290, MATH 125",Honors
F00150,Data Science,Freshman,"CSCI 120L, CSCI 210, HSS 290",Regular
F00131,Computer Science,Sophomore,"CORE 150, CSCI 110, MATH 240, CORE 201, MATH 120, CSCI 291",Regular
F00152,Computer Science,Senior,"CSCI 412, MATH 240, MATH 120, CSCI 261, CSCI 241",Regular
F00100,Computer Science,Senior,"NSCI 360, CSCI 282, CORE 160, CORE 120, CSCI 282L, CSCI 291, CSCI 210",Honors
F00088,Math,Sophomore,"CORE 100, CSCI 120, MATH 220, CORE 360, PHYS 130L, CORE 260, MATH 120",Honors
F00215,Data Science,Senior,"CORE 120, CORE 260, CSCI 412, CSCI 241L, MATH 130, CSCI 241, CSCI 120L",Regular
F00122,Data Science,Junior,"CSCI 241L, CORE 120, CSCI 110",Regular
F00300,Math,Senior,"CSCI 110, PHYS 130, MATH 395",Honors
F00021,Computer Science,Junior,"CSCI 261L, NSCI 360, CSCI 120L, CSCI 110, CSCI 282L, CSCI 261",Regular
F00189,Math,Senior,"CSCI 120L, CORE 360, CORE 120",Regular
F00072,Math,Junior,"MATH 353, CORE 360, CORE 160, MATH 210, MATH 395",Honors
F00107,Computer Science,Freshman,"CSCI 312, CSCI 120, CSCI 261",Honors
F00271,Computer Science,Junior,"NSCI 360, CSCI 261, CSCI 411, CSCI 310, CSCI 110L, CORE 150",Regular
F00103,Computer Science,Senior,"MATH 125, CSCI 110L, CORE 150, CORE 100, MATH 130, CSCI 261, CSCI 110, CORE 260",Honors
