Student_ID,Major,Year,is Honors or Regular,Courses_Taken
A00012,Mathematics,Freshman,True,"ENG 330, HIS 240, NAN, CSCI 398, MATH 395, MATH 130, NSCI 360"
A00013,Data Science,Senior,False,"BIOL 305, CSCI 120, CSCI 110, NSCI 360, NAN, MATH 125, CORE 201, MATH 101, ECON 240, CORE 160, BAD 260, CHEM 235, ENG 290, NSCI 285, MATH 130, CORE 100, ECON 230, ECON 350, BIOL 343L, BIOL 313, CSCI 110L, CSCI 120L, NSCI 285L, MATH 110, CORE 150, CSCI 411, CSCI 310, CSCI 412, BIOL 343"
A00014,Computer Science,Senior,True,"CSCI 120, MATH 120, CSCI 312, CSCI 110, NSCI 360, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, MUS 315, EDUC 310, HSS 170L, CSCI 261L, CSCI 241, MATH 130, PASS SCORE ON PLACEMENT TEST, MUS 382, CSCI 241L, ECON 400, CSCI 312L, CSCI 261, CSCI 110L, ECON 340, CSCI 120L, ECON 330, CORE 150, MATH 110, CSCI 310, CSCI 412"
A00015,Mathematics,Sophomore,False,"ENG 330, NAN, PHYS 130, CSCI 110L, MATH 240, ENG 332, MATH 110, CORE 150, CSCI 110, MATH 130, MATH 120, PHYS 117L, PHYS 117, PHYS 130L"
A00016,Data Science,Junior,False,"CORE 260, NAN, CSCI 120, CSCI 241, MATH 125, MUS 171, CSCI 120L, CSCI 110L, MATH 110, CORE 150, CSCI 390M, VOICE AUDITION, CSCI 110, CORE 120, CSCI 412, CORE 100, CSCI 241L, CORE 160"
A00017,Data Science,Freshman,True,"FIN 320, NAN, FIN 370, CSCI 310"
A00018,Mathematics,Junior,True,"CSCI 120, MKT 300, MATH 120, CSCI 110, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, KINS 375, MATH 395, CORE 160, CORE 260, BIOL 101, PSY 180, PASS SCORE ON PLACEMENT TEST, PHYS 130L, PHYS 130, CSCI 110L, CSCI 120L, MATH 110, CORE 150, NSCI 393"
A00019,Mathematics,Senior,False,"PHYS 351, MUS 274, EDUC 340, CSCI 110, MATH 120, CORE 360, NAN, CORE 201, MUS 229, AUDITION, CORE 160, JUNIOR RECITAL, CORE 260, MUS 375, MATH 130, PHYS 140, PHYS 130L, PHYS 130, CSCI 110L, MATH 240, MATH 210, MATH 110, CORE 120, EDUC 460M, CORE 150, PHYS 117"
A00020,Mathematics,Senior,True,"BIOL 305, MATH 353, MATH 120, CHEM 234, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CORE 201, KINS 425, ECON 400R, HIGH SCHOOL TRIGONOMETRY, CORE 160, CHEM 235, HON 111, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, CORE 100, PHYS 130L, BIOL 343L, BIOL 313, PHYS 130, MATH 240, ECON 340, MATH 110, CORE 120, ECON 330, BIOL 343, MKT 330"
A00021,Data Science,Junior,True,"FLM 261, NAN, MATH 125, PHYS 330, PHYS 130, MATH 240, CSCI 241, MATH 101, CSCI 120, MATH 110, ECON 330, MATH 120, MATH 130, CORE 100, FLM 260, CSCI 241L, ECON 230, BAD 260"
A00022,Mathematics,Freshman,False,"NAN, CSCI 120, MATH 240, CSCI 120L, CSCI 110, MATH 130, CORE 100"
A00023,Data Science,Senior,False,"MUS 160B, MATH 120, ACC 240, CSCI 312, MATH 390B, CSCI 280L, NAN, MATH 125, MATH 101, ART 291, CSCI 280, BIOL 440, HIGH SCHOOL TRIGONOMETRY, CORE 160, BAD 260, BIOL 360, CORE 260, BIOL 101, SW 378, MKT 360, MATH 130, BIOL 440L, PASS SCORE ON PLACEMENT TEST, CORE 100, ECON 230, CSCI 312L, CSCI 380L, MUS 260A, FIN 320, MATH 110, CSCI 380, CORE 150, CSCI 412"
A00024,Data Science,Freshman,True,"CSCI 120L, CSCI 120, CSCI 110"
A00025,Mathematics,Freshman,False,"NAN, MATH 130, KINS 320L, NSCI 360, KINS 320"
A00026,Mathematics,Sophomore,True,"NAN, CSCI 120, PHYS 130, CSCI 120L, KINS 322, MATH 110, MATH 120, CSCI 110, KINS 322L, MATH 220, PHYS 130L"
A00027,Data Science,Senior,False,"PHYS 118, MATH 120, CSCI 390M, PHYS 441, NAN, CSCI 210, ECON 340A, CSCI 241, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, MATH 130, PASS SCORE ON PLACEMENT TEST, CSCI 241L, CORE 131, ECON 230, PHYS 140, PHYS 341, CSCI 380L, HON 421, PHYS 130, BETTER GRADE POINT AVERAGE, MATH 240, MATH 210, MATH 110, CORE 150, CORE 120, CSCI 380, CSCI 310, CSCI 412, NSCI 292, IND 206"
A00028,Mathematics,Sophomore,False,"CORE 260, NAN, ACC 350, PHYS 130, BAD 110, MATH 110, CORE 150, ACC 240, CORE 160, PHYS 130L"
A00029,Data Science,Junior,False,"CSCI 120, EDUC 340, CSCI 110, MATH 390B, SW 486, NAN, MATH 101, CORE 160, BAD 260, CSCI 241, MATH 130, CSCI 241L, CSCI 380L, CSCI 110L, MATH 240, CSCI 120L, MATH 110, CSCI 380, CORE 150, EDUC 460M, CSCI 412"
A00030,Computer Science,Senior,True,"SOC 100, BIOL 102, CSCI 120, PSY 205, MATH 120, CORE 360, GRD 210, NAN, MATH 125, CSCI 210, CSCI 261L, CORE 160, EDUC 250, CORE 260, BIOL 101, CSCI 241, EDUC 320BL, NSCI 286, MATH 130, CSCI 241L, CSCI 261, SOC 352, EDUC 260, MATH 240, MATH 110"
A00031,Mathematics,Junior,True,"PHYS 351, ENG 275, PHYS 118, MATH 120, BIOL 212, NSCI 360, NAN, BIOL 101L, BIOL 101, MUS 470, MATH 320, MATH 130, PASS SCORE ON PLACEMENT TEST, MATH 240, MATH 210, MATH 110, CORE 120, CORE 150, BAD 250, PHYS 117, BIOL 212L"
A00032,Data Science,Freshman,True,"CSCI 120, CSCI 241, CSCI 110L, MATH 110, CSCI 110, CSCI 241L"
A00033,Computer Science,Senior,True,"CSCI 110, CSCI 312, MATH 120, NSCI 360, NAN, CSCI 282L, CORE 201, SW 255, MUS 460, KINS 122L, CSCI 261L, CSCI 282, HIGH SCHOOL TRIGONOMETRY, CORE 160, PSCI 130, CSCI 241, PSCI 340, KINS 122, MUS 281, MATH 130, CSCI 230, CSCI 261, CSCI 312L, CSCI 110L, MATH 240, MATH 110, CORE 150, CSCI 310, CSCI 230L"
A00034,Mathematics,Junior,True,"CSCI 120, MUS 253, MATH 120, CSCI 110, NAN, NSCI 323, MATH 220, EDUC 250, NSCI 323L, HON 321, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, CORE 100, MUS 152, BETTER GRADE POINT AVERAGE, SPED 210, EDUC 260, CSCI 110L, CSCI 120L, CORE 120, CORE 150, SPED 350"
A00035,Mathematics,Freshman,True,"CORE 260, NAN, CSCI 120, CSCI 120L, CSCI 110, CORE 100, CORE 160"
A00036,Mathematics,Senior,False,"MATH 120, CSCI 110, CORE 360, NAN, KINS 375, CORE 201, MATH 270, HIGH SCHOOL TRIGONOMETRY, MATH 220, ECON 240, CORE 160, BAD 260, CORE 260, BIOL 101, MATH 320, MATH 130, ECON 300, ECON 230, CSCI 110L, MATH 240, MATH 210, MATH 110, CORE 150, PSCI 221, BAD 200"
A00037,Data Science,Sophomore,False,"CORE 260, NAN, PSCI 231, MUS 274, MUS 172, CSCI 210, CORE 150, MATH 130, CORE 120, NSCI 360, CORE 160"
A00038,Computer Science,Sophomore,True,"HIS 240, NAN, CSCI 120, CSCI 241, BIOL 101, CSCI 120L, BIOL 255L, CHEM 342, BIOL 101L, CSCI 110, CHEM 316, CSCI 241L, BIOL 255"
A00039,Data Science,Sophomore,True,"HON 421, CORE 260, NAN, HON 322, BETTER GRADE POINT AVERAGE, CORE 201, ART 202, MATH 110, MATH 120, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, PASS SCORE ON PLACEMENT TEST, CORE 120, CORE 160"
A00040,Mathematics,Sophomore,True,"NAN, CSCI 120, PHYS 130, CSCI 120L, AERO-4516L, MATH 110, MATH 120, MATH 130, NSCI 360, HIGH SCHOOL TRIGONOMETRY, PHYS 130L"
A00041,Mathematics,Senior,False,"BIOL 102, EDUC 340, MATH 353, CSCI 110, NSCI 360, SOC 358, CHEM 204, CORE 360, CHEM 234, NAN, MATH 270, BIOL 101L, MUS 261, JUNIOR RECITAL, CORE 160, CORE 260, BIOL 101, MATH 130, MUS 355, PHYS 130L, BIOL 102L, BIOL 313, PHYS 130, CSCI 110L, MATH 240, EDUC 460M, MATH 110, CORE 120, CORE 150, MUS 254, MUS 162"
A00042,Computer Science,Junior,False,"CRJ 385, JUNIOR, MATH 120, ACC 240, KINS 381, ENG 336, CRJ 200, NAN, HIGH SCHOOL TRIGONOMETRY, CORE 160, IND 113, ENG 330, CORE 260, PHYS 381, PSCI 305, MATH 130, ACC 230, PHYS 140, MATH 210, MATH 110, CORE 150, CSCI 411, PHYS 117"
A00043,Data Science,Sophomore,False,"NAN, MATH 125, KINS 400, AERO-2013L, MATH 110, CSCI 210, MATH 130, CSCI 411, MATH 202, NSCI 292"
A00044,Mathematics,Junior,False,"BIOL 305, BIOL 102, CSCI 110, NSCI 360, NAN, BIOL 101L, ART 291, BIOL 101, CHEM 235, INS 103, MATH 320, MATH 130, PHYS 130L, BIOL 343L, BIOL 313, BIOL 102L, PHYS 130, CSCI 110L, MATH 240, MATH 110, BIOL 343"
A00045,Computer Science,Junior,True,"CSCI 120, CSCI 110, CORE 360, NAN, MATH 125, CSCI 210, BIOL 440, CORE 260, BIOL 101, CSCI 241, BIOL 410, MATH 130, BIOL 440L, CORE 100, MATH 240, CSCI 120L, ENG 226, CSCI 412, CSCI 291, ENG 220"
A00046,Mathematics,Sophomore,True,"FREN 350, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, MATH 210, CORE 150, MATH 120, PASS SCORE ON PLACEMENT TEST, MATH 130, FREN 311, FREN 312"
A00047,Computer Science,Junior,True,"CSCI 261, NAN, CSCI 120, CSCI 241, CSCI 120L, CORE 120, CSCI 110, MATH 130, MATH 120, AUDITION, NSCI 360, CSCI 411, CSCI 261L, CSCI 230L, CSCI 230, MUS 152, MUS 150A"
A00048,Mathematics,Freshman,False,"NAN, HCA 201, MATH 270, MATH 395, MATH 130, KINS 320L, KINS 320, HCA 210"
A00049,Computer Science,Junior,False,"MUS 160B, CSCI 110, CSCI 312, KINS 407, NAN, CSCI 210, KINS 132, CSCI 261L, CHEM 470L, MUS 060B, CORE 160, CORE 260, CSCI 241, CSCI 230, CSCI 312L, CSCI 261, CHEM 470, CSCI 110L, CHEM 342, MATH 110, CORE 150, CSCI 230L"
A00050,Mathematics,Sophomore,True,"CORE 260, NAN, CSCI 120, PHYS 130, MATH 240, CSCI 120L, CORE 132, MATH 395, CORE 120, MATH 320, MATH 130, MATH 110, CORE 100, NSCI 360, PHYS 130L, CORE 360"
A00051,Mathematics,Sophomore,True,"CSCI 120, PHYS 130, CSCI 110L, CSCI 120L, MATH 110, CSCI 110, MATH 120, MATH 220, PHYS 130L"
A00052,Data Science,Senior,True,"CSCI 120, CSCI 110, CSCI 312, MUS 160A, NSCI 362, NSCI 360, SOC 220, NAN, NSCI 361, MATH 101, CSCI 210, CORE 160, BAD 260, CSCI 241, MKT 360, MATH 130, ENG 146, CSCI 312L, CSCI 110L, CSCI 120L, MATH 110, CORE 150, CSCI 411, CSCI 310, INSTRUCTOR'S PERMISSION"
A00053,Computer Science,Sophomore,True,"NAN, CSCI 120, SOC 370, JUNIOR, PSY 180, MATH 110, CORE 150, MATH 120, MATH 130, CSCI 210, PSY 217, CSCI 412, PASS SCORE ON PLACEMENT TEST, CSCI 230L, CSCI 230, SOC 206"
A00054,Mathematics,Senior,False,"BIOL 102, PHYS 330, PHYS 323L, MATH 353, SPAN 200, CRJ 365, CRJ 200, NAN, PHYS 323, CORE 201, HSS 238, BIOL 101L, CHEM 470L, CORE 160, CORE 260, BIOL 101, MATH 320, MATH 130, CORE 100, CHEM 470, BIOL 102L, PHYS 130, MATH 240, PHYS 324, SPAN 312"
A00055,Data Science,Freshman,False,"SOC 100, NAN, CSCI 120, CSCI 120L, PSY 180, CSCI 412, PSY 256, SOC 376"
A00056,Mathematics,Freshman,False,"NAN, BIOL 101, BIOL 103, MATH 395, MATH 110, MATH 130, NSCI 360, BIOL 286L"
A00057,Data Science,Freshman,False,"COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, MATH 120, IND 111, HIGH SCHOOL TRIGONOMETRY"
A00058,Computer Science,Junior,True,"KINS 243, NAN, CSCI 120, CSCI 241, CSCI 110L, CSCI 282L, CSCI 120L, MATH 125, CSCI 370, MATH 110, CORE 120, CSCI 110, BAD 490, CORE 150, CSCI 282, CSCI 230, CORE 160, KINS 243L"
A00059,Computer Science,Junior,False,"CSCI 110, CSCI 312, MATH 120, NSCI 360, MUS 305, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CSCI 282L, CSCI 282, HIGH SCHOOL TRIGONOMETRY, CSCI 241, SW 378, MATH 130, CSCI 230, CSCI 241L, CSCI 312L, CSCI 110L, MATH 110, CSCI 411, CSCI 230L"
A00060,Mathematics,Senior,False,"BIOL 102, CSCI 120, MATH 353, CSCI 110, NSCI 360, NAN, BIOL 221, CORE 201, MATH 270, ART 215, BIOL 101L, MATH 395, ART 291, ECON 240, CORE 160, BIOL 221L, BIOL 101, MATH 320, MATH 130, AERO 1013L, ECON 230, PHYS 130L, ECON 350, BIOL 102L, PHYS 130, CSCI 110L, MATH 240, CSCI 120L, MATH 210, MATH 110, KINS 391, CORE 120"
A00061,Computer Science,Sophomore,False,"CSCI 312L, NAN, MATH 125, CSCI 241, CSCI 282L, CSCI 312, CSCI 310, CSCI 291, CSCI 230L, CSCI 282, CSCI 230, EDUC 250"
A00062,Mathematics,Senior,True,"BIOL 256L, CSCI 120, MATH 120, CSCI 110, INSTRUCTOR PERMISSION, BIOL 256, NAN, CORE 201, MATH 270, BIOL 101L, CORE 160, CORE 260, BIOL 101, ACC 420, MATH 130, HSS 380, PHYS 130L, KINS 133L, PHYS 130, CSCI 110L, MATH 240, CSCI 120L, MATH 110, CORE 150, CORE 120, KINS 133"
A00063,Mathematics,Senior,False,"KINS 275, CSCI 110, NSCI 360, NAN, CORE 201, MATH 270, FREN 302, MATH 395, FREN 200, KINS 275L, CORE 160, PSCI 252, ENG 330, CORE 260, MATH 130, CORE 131, PHYS 130L, PSCI 321, PHYS 130, CSCI 110L, ENG 332, MATH 240, SPAN 312, MATH 110, CORE 120, CHEM 450, CORE 150, SPAN 370"
A00064,Mathematics,Sophomore,True,"NAN, FLM 280, CHEM 104, MATH 270, CHEM 103, MUS 260A, MATH 395, CORE 120, MATH 120, MATH 110, MATH 130, MUS 160B, CHEM 114, CHEM 113, HIGH SCHOOL TRIGONOMETRY, IND 113"
A00065,Computer Science,Freshman,True,"NAN, CSCI 120, CSCI 241, CSCI 210, CSCI 241L"
A00066,Mathematics,Junior,False,"MUS 376, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, NSCI 323L, PHYS 130, CSCI 110L, ECON 240, MATH 101, PSY 180, MATH 110, CSCI 110, CORE 150, MATH 120, PASS SCORE ON PLACEMENT TEST, MUS 475, SOC 365, NSCI 323, PHYS 130L"
A00067,Mathematics,Sophomore,True,"NAN, HCA 201, PHYS 130, MATH 270, MATH 110, MATH 120, MATH 130, MUS 482, MATH 220, PHYS 130L"
A00068,Computer Science,Junior,True,"CSCI 312L, CSCI 261, NAN, CSCI 120, CSCI 241, CSCI 282L, CHEM 103, SPAN 312, SPAN 314, MATH 120, CSCI 312, MATH 130, CHEM 113, CSCI 261L, CSCI 282, CSCI 241L, CSCI 230"
A00069,Data Science,Sophomore,True,"CORE 260, NAN, BIOL 222, BIOL 221, CSCI 210, BIOL 222L, CSCI 411, CSCI 412, HSS 290, CORE 160, BIOL 221L"
A00070,Computer Science,Senior,False,"FREN 360, CSCI 120, CHEM 203, BIOL 270, ACC 240, CORE 360, MUS 372, NAN, BIOL 101L, BIOL 255, CORE 160, SENIOR RECITAL, BIOL 101, CORE 260, CSCI 241, HIS 300, MATH 130, CORE 100, CSCI 241L, CSCI 230, PSCI 231, MATH 240, ACC 310, BIOL 255L, CORE 120, CORE 150, CSCI 310, CSCI 412, MUS 472, CSCI 230L, CHEM 233"
A00071,Mathematics,Freshman,False,"NAN, MUS 262, ART 400, CORE 100, MUS 162"
A00072,Mathematics,Junior,True,"CSCI 120, MATH 353, KINS 125, ART 102, MATH 120, CSCI 110, KINS 125L, ART 101, CORE 360, NAN, PSCI 130, CORE 260, MATH 320, PASS SCORE ON PLACEMENT TEST, PHYS 130L, PHYS 130, CSCI 110L, MATH 240, CSCI 120L, MATH 110, CORE 150"
A00073,Computer Science,Sophomore,False,"CORE 260, NAN, FREN 101, MATH 125, CSCI 110L, CSCI 241, MUS 323, MATH 110, CSCI 110, CSCI 291, FREN 102, CORE 160"
A00074,Mathematics,Junior,True,"MUS 490, MATH 120, CSCI 110, NSCI 360, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CORE 201, ART 215, NSCI 324, HIGH SCHOOL TRIGONOMETRY, NSCI 323, CORE 160, NSCI 323L, NSCI 362L, MATH 130, PHYS 130L, PHYS 130, CSCI 110L, MATH 240, MATH 110"
A00075,Data Science,Freshman,True,"CSCI 241L, NAN, CSCI 241, CSCI 310"
A00076,Mathematics,Freshman,False,"MUS 372, NAN, CSCI 110L, CSCI 110, MUS 158, MUS 272"
A00077,Mathematics,Sophomore,True,"CORE 260, NAN, FREN 101, PSCI 342, CSCI 110L, MATH 270, MATH 110, MATH 120, CSCI 110, MATH 130, NSCI 360, FREN 313, CORE 360"
A00078,Mathematics,Sophomore,True,"CORE 260, NAN, PHYS 130, CSCI 110L, MATH 270, ART 400, MUS 281, MATH 110, CSCI 110, MATH 130, NSCI 360, CRJ 220, CRJ 200, PHYS 130L, CORE 360"
A00079,Data Science,Sophomore,False,"CSCI 380L, MUS 372, CORE 260, SENIOR RECITAL, NAN, CSCI 241, MATH 240, AERO-4516L, NS 241, CSCI 380, MATH 130, MUS 472, CSCI 241L, HSS 290, CORE 160, PSCI 320"
A00080,Data Science,Sophomore,True,"BIOL 222, NAN, CSCI 120, BIOL 221, CORE 201, CSCI 241, CORE 150, BIOL 222L, CSCI 280, CSCI 280L, ENG 220, CSCI 241L, CORE 160, BIOL 221L"
A00081,Mathematics,Senior,False,"EDUC 340, CSCI 110, NSCI 360, INSTRUCTOR PERMISSION, HIS 240, NAN, CORE 201, SW 255, MATH 395, SPAN 340, CORE 160, EDUC 450, MATH 320, MATH 130, CORE 100, PHYS 130L, EDUC 460, MUS 262, PHYS 130, CSCI 110L, MATH 240, ADMISSION TO THE SECONDARY TEACHER EDUCATION PROGRAM, MATH 110, CORE 120, EDUC 350, MUS 162"
A00082,Computer Science,Sophomore,True,"CORE 260, NAN, MATH 125, CSCI 241, ART 208, MATH 101, MATH 110, MATH 120, CORE 150, PASS SCORE ON PLACEMENT TEST, ECON 330, CSCI 291, CSCI 230L, CSCI 230, ECON 230, CORE 160, BAD 260"
A00083,Mathematics,Senior,True,"CSCI 120, KINS 125, CSCI 110, MUS 225, KINS 125L, MATH 120, MUS 150A, FREN 101, NAN, MATH 270, MATH 395, AUDITION, MATH 220, MUS 150B, HIS 160, MATH 130, MUS 250B, PHYS 130L, PHYS 130, CSCI 110L, MATH 240, CSCI 120L, MATH 110, CORE 150"
A00084,Computer Science,Senior,False,"MUS 376, BIOL 291, CSCI 120, MUS 172, CSCI 110, MATH 120, ENG 280, MUS 475, NAN, CSCI 282L, CORE 201, HMLS 365, IND 311, BIOL 101L, MS 111, CSCI 261L, CSCI 282, CORE 160, BIOL 101, CSCI 241, MATH 130, CORE 100, CSCI 241L, CSCI 230, CSCI 261, CSCI 110L, CSCI 120L, MATH 110, CORE 150, AERO 4515, CSCI 412, CSCI 230L, MUS 272"
A00085,Computer Science,Junior,False,"CSCI 312L, SPAN 310, CSCI 230L, NAN, CSCI 120, CSCI 241, CSCI 282L, MUS 150B, SPAN 200, CSCI 312, MATH 130, NSCI 360, MUS 250A, MGT 330, CSCI 282, CSCI 230, BAD 260, MUS 150A"
A00086,Data Science,Senior,True,"SOC 100, CSCI 120, CSCI 110, CSCI 312, MATH 390B, FREN 311, FLM 103, NAN, CORE 201, KINS 322, FREN 200, CSCI 210, KINS 322L, CORE 160, MUS 351, CSCI 241, FREN 320, ART 201, MATH 130, CSCI 241L, PSCI 205, CSCI 312L, CSCI 380L, KINS 133L, SOC 352, CSCI 110L, MATH 240, CSCI 120L, CORE 150, CSCI 380, CSCI 310, SPED 270, KINS 133"
A00087,Computer Science,Sophomore,False,"NAN, CSCI 120, CHEM 233, CSCI 320, CSCI 110L, CHEM 206, FIN 320, CSCI 110, ACC 240, MATH 130, CSCI 411, CSCI 310, CSCI 230L, CSCI 230, ECON 230, BAD 260, CHEM 234"
A00088,Mathematics,Sophomore,False,"COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CSCI 110L, CHEM 206, MATH 120, CSCI 110, HIS 190, CHEM 233, HIGH SCHOOL TRIGONOMETRY, CHEM 234"
A00089,Mathematics,Junior,False,"MATH 353, MATH 120, CSCI 110, CHEM 114, CHEM 341L, NAN, HSS 238, MGT 320, MATH 395, ENG 265, MGT 280, MATH 130, CORE 100, KINS 320, EDUC 248, CSCI 110L, MATH 240, MATH 210, KINS 320L, CHEM 341"
A00090,Computer Science,Sophomore,False,"MUS 282, CORE 260, NAN, CSCI 210, MUS 254, CORE 100, MUS 355, ENG 220, MUS 207, ENG 222, JUNIOR RECITAL, PHO 351, CORE 360"
A00091,Computer Science,Freshman,True,"COMPLETION OF HIGH SCHOOL ALGEBRA, FIN 410, NAN, CSCI 120, CSCI 120L, FIN 320, MATH 120, PASS SCORE ON PLACEMENT TEST"
A00092,Mathematics,Sophomore,True,"SOC 100, COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, CSCI 120, CSCI 120L, SOC 374, MATH 395, CORE 150, MATH 120, PASS SCORE ON PLACEMENT TEST, CSCI 110, CORE 160, SOC 499M"
A00093,Mathematics,Senior,True,"SPED 311, BAD 399, SPAN 200, CSCI 110, MATH 120, NAN, FIELD EXPERIENCE, BIOL 221, MATH 270, MATH 395, BIOL 222L, HIGH SCHOOL TRIGONOMETRY, CORE 160, BIOL 221L, BIOL 222, CORE 260, SPAN 101, MATH 130, CORE 140, PHYS 130L, PHYS 130, CSCI 110L, MATH 210, MATH 110"
A00094,Mathematics,Freshman,True,
A00095,Computer Science,Junior,False,"NSCI 293, NAN, BIOL 256L, BIOL 101, CSCI 110L, CSCI 120, CSCI 120L, CSCI 241, BIOL 101L, MATH 110, CSCI 110, CSCI 390M, MATH 130, MATH 120, CSCI 310, BIOL 256, CSCI 241L, IND 113"
A00096,Data Science,Freshman,False,"COMPLETION OF HIGH SCHOOL ALGEBRA, NAN, ART 213, CSCI 241, MATH 120, PASS SCORE ON PLACEMENT TEST, CSCI 241L"
A00097,Mathematics,Junior,True,"NAN, CSCI 120, MATH 353, CSCI 120L, MATH 240, KINS 382, CORE 150, MATH 120, CSCI 110, CORE 100, CHEM 341L, CHEM 114, CHEM 341, FLM 201, MATH 220, CORE 160"
A00098,Mathematics,Senior,False,"CSCI 120, ART 250, MATH 120, CSCI 110, NAN, MUS 171, MATH 270, FREN 200, BIOL 440, MATH 220, CORE 160, BIOL 360, CORE 260, BIOL 101, HON 222, NSCI 362L, SPED 400, ADMISSION TO THE W.E.B DU BOIS GENERAL UNIVERSITY HONORS PROGRAM, MATH 130, BIOL 440L, INS 110, CSCI 110L, MATH 240, CSCI 120L, 3.0, MATH 110, CORE 120, VOICE AUDITION, FREN 312"
